line,title,author,cited_num,relate,reverse_relate
Tuning the Regioselectivity in Palladium(II)-Catalyzed Isomerization of Alkylidenecyclopropyl Ketones. A Dramatic Salt Effect,Tuning the Regioselectivity in the Palladium (II)‐Catalyzed Isomerization of Alkylidene Cyclopropyl Ketones: A Dramatic Salt Effect,,101,84.62%,62.50%
Tuning the Regioselectivity in the Coupling Reaction Involving Allenic/Propargylic Palladium Species. A Ligand Switch,Tuning of regioselectivity in the coupling reaction involving allenic/propargylic palladium species,,57,21.43%,36.36%
"Novel 1,3-lithium Shift of Propargylic/Allenylic Lithium and the Subsequent Transmetalation/Coupling Reaction with Aryl Halides","A 1, 3‐Lithium Shift of Propargylic/Allenylic Lithium and the Subsequent Transmetalation Coupling Reaction with Aryl Halides",,31,78.57%,68.75%
Probing the Mechanism of Palladium-Catalyzed Addition of Organoboronic Acids to Allenes in the Presence of AcOH with ESI-FTMS,Probing the Mechanism of the Palladium‐Catalyzed Addition of Organoboronic Acids to Allenes in the Presence of AcOH by ESI‐FTMS,H Guo,50,88.89%,78.95%
What Can a Metal Catalyst Do with Allenes? One-Step Building Up of New Steroid Scaffold from Easily Available Starting Materials,Expanding the organic toolbox: a guide to integrating biocatalysis in synthesis,,199,5.00%,9.09%
"1,4-Migration of Rhodium and Palladium in Catalytic Organometallic Reactions","1, 4‐Migration of Rhodium and Palladium in Catalytic Organometallic Reactions",,111,88.89%,80.00%
Gold-Catalyzed Cyclization of Enynes,Gold‐catalyzed cyclization of enynes,,368,25.00%,25.00%
"Pd(OAc)2-Catalyzed Coupling-Cyclization of 2,3-Allenoic Acids and Methyl Propiolate: An Unexpected p-Bond Migration Proceeds Through Double 1,7-Hydrogen Shifts","Pd (OAc) 2‐Catalyzed Coupling/Cyclization of 2, 3‐Allenoic Acids and Methyl Propiolate: Observation of Double 1, 7‐Hydrogen Shifts",,13,47.06%,41.18%
"Controllable [2+2]-Cycloadditions of 1,5-Bisallenyl-Substituted Compounds","Controllable [2+ 2] Cycloadditions of 1, 5‐Bisallenyl‐Substituted Compounds",,52,60.00%,37.50%
"Highly Selective Thiiranation of 1,2-Allenylic Sulfones with Br2 and Na2S2O3. Mechanistic Study and Asymmetric Synthesis of Alkylidenethiiranes","Highly Selective Thiiranation of 1, 2‐Allenyl Sulfones with Br2 and Na2S2O3: Mechanism and Asymmetric Synthesis of Alkylidenethiiranes",,35,76.47%,76.47%
"Pd(PPh3)4-Catalyzed Diastereoselective Synthesis of Four-membered trans-1,2-Diazetidines from 2,3-Allenyl Hydrazines and Aryl Halides","[Pd (PPh3) 4]‐Catalyzed Diastereoselective Synthesis of trans‐1, 2‐Diazetidines from 2, 3‐Allenyl Hydrazines and Aryl Halides",,33,66.67%,53.33%
"An Efficient Approach to 1,5,7,8,9-Pentahydrocyclopenta[h]-2-benzopyran-3-one Derivatives via Palladium-catalyzed Tandem Reaction of 2,7-Alkadiynylic Carbonates with 2,3-Allenoic Acids","… , 9‐Pentahydrocyclopenta [h]‐2‐Benzopyran‐3‐one Derivatives by a Palladium‐Catalyzed Tandem Reaction of 2, 7‐Alkadiynylic Carbonates with 2, 3‐Allenoic Acids",,16,43.75%,41.18%
Recent Advances on Asymmetric Synthesis via Metal-Catalyzed Enantioselective Allylation Reaction,"Boronic acids: preparation, applications in organic synthesis and medicine",,1259,0.00%,0.00%
Transition Metal-Catalyzed/Mediated Reaction of Allenes with A Nucleophilic Functionality Connected to the a-Carbon Atom,Transition metal-catalyzed/mediated reaction of allenes with a nucleophilic functionality connected to the α-carbon atom,,438,35.71%,35.71%
Electrophilic Addition and Cyclization Reactions of Allenes,Electrophilic addition and cyclization reactions of allenes,,277,42.86%,42.86%
Some Typical Advances in the Synthetic Applications of Allenes,Some typical advances in the synthetic applications of allenes,,814,44.44%,44.44%
Recent Adavances in the Chemistry of Allenes,[CITATION][C] Recent advances in the chemistry of allenes,,213,57.14%,50.00%
"Pd(0)-catalyzed Insertion-Cyclization Reaction of 2,3-Allenols with Aryl or Alkenyl Halides. Diastereoselective Synthesis of Highly Optically Active trans-2,3-Disubstituted Vinylic Oxiranes","Pd (0)-Catalyzed Insertion− Cyclization Reaction of 2, 3-Allenols with Aryl or Alkenyl Halides. Diastereoselective Synthesis of Highly Optically Active trans-2, 3 …",,102,68.42%,61.90%
"Novel Substituent and Chelating Effects in the Pd-Catalyzed Reaction of 2,3-Allenols, Aryl Iodides, and Amines. Highly Regio- and Stereo-selective Synthesis of 2-Amino-3-alken-1-olsor 4-Amino-2(E)-alken-1-ols","Novel substituent and chelating effects in the Pd-catalyzed reaction of 2, 3-allenols, aryl iodides, and amines. Highly regio-and stereoselective synthesis of 2-amino-3 …",,53,34.78%,40.91%
"Highly Regio- and Stereoselective Halohydroxylation Reaction of 1,2-Allenyl Phenyl Sulfoxides. Reaction Scope, Mechanism and the Corresponding Pd- or Ni-Catalyzed Selective Coupling Reactions","Highly regio-and stereoselective halohydroxylation reaction of 1, 2-allenyl phenyl sulfoxides. Reaction scope, mechanism, and the corresponding Pd-or Ni-catalyzed …",,98,22.73%,38.89%
"2,3,4- or 2,3,5-Trisubstituted Furans: Catalyst-Controlled Highly Regioselectively Ring-Opening Cycloisomerization Reaction of Cyclopropenyl Ketones","2, 3, 4-or 2, 3, 5-Trisubstituted furans: Catalyst-controlled highly regioselective ring-opening cycloisomerization reaction of cyclopropenyl ketones",,146,7.69%,6.25%
"A Novel X- (X=I, Br)-Triggered Ring-opening Coupling Reaction of Cyclopropenes with Organic Halides","An X-(X= I, Br)-triggered ring-opening coupling reaction of cyclopropenes with organic halides",Y Cai,42,15.38%,16.67%
Catalytic Regioselectivity Control in Ring-Opening Cycloisomerization of Methylene- or Alkylidenecyclopropyl Ketones,Catalytic regioselectivity control in ring-opening cycloisomerization of methylene-or alkylidenecyclopropyl ketones,,128,27.27%,30.00%
"PdCl2-Catalyzed Two-Component Cross-coupling Cyclization of 2,3-Allenoic Acids and 2,3-Allenols. An Efficient Synthesis of 4-(1’, 3’-Dien-2’-yl)-2-furanone Derivatives","PdCl2-Catalyzed Two-Component Cross-Coupling Cyclization of 2, 3-Allenoic Acids with 2, 3-Allenols. An Efficient Synthesis of 4-(1 ', 3 '-Dien-2 '-yl)-2 (5 H)-furanone …",,67,56.25%,40.91%
ESI-MS Studies on the Mechanism of Pd(0)-Catalyzed Three-Component Tandem Double Addition-Cyclization Reaction,ESI-MS studies on the mechanism of Pd (0)-catalyzed three-component tandem double addition-cyclization reaction,H Guo,67,33.33%,30.77%
"Sequential Rearrangement of 1,2,4Z,7-Tetraenes Involving [1,5]-Hydrogen Migration and Electrocyclization: An Efficient Synthesis of Eight-membered Cyclic Compounds","Sequential Rearrangement of 1, 2, 4 Z, 7-Tetraenes Involving [1, 5]-Hydrogen Migration and Electrocyclization: An Efficient Synthesis of Eight-Membered Cyclic …",,34,68.75%,55.00%
"Palladium Acetate-Catalyzed Cyclization Reaction of 2,3-Allenoic Acids in the Presence of Simple Allenes: An Efficient Synthesis of 4-(1’-Bromoprop-2’(Z)-en-2’-yl)furan-2(5H)-one Derivatives and the Synthetic Application","Palladium Acetate-Catalyzed Cyclization Reaction of 2, 3-Allenoic Acids in the Presence of Simple Allenes: An Efficient Synthesis of 4-(1 '-Bromoalk-2 '(Z)-en-2 '-yl) …",X Wang W Shu,46,69.57%,77.27%
"trans-RhCl(CO)(PPh3)2-Catalyzed Monomeric and Dimeric Cycloisomerization of Propargylic 2,3-Dienoates. Establishment of α,β-Unsaturated δ-Lactone Rings by Cyclometallation","trans-RhCl (CO)(PPh3) 2-catalyzed monomeric and dimeric cycloisomerization of propargylic 2, 3-dienoates. establishment of α, β-unsaturated δ-lactone rings by …",,40,20.00%,16.67%
"Iron-Catalyzed Highly Regio- and Stereoselective Conjugate addition of 2,3-Allenoates with Grignard Reagents","Iron-catalyzed highly regio-and stereoselective conjugate addition of 2, 3-allenoates with Grignard reagents",,60,33.33%,33.33%
"Novel Oxidative Cyclization/Dimerization Reaction of 2,3-Allenoic Acids and 1,2-Allenyl Ketones. An Efficient Synthesis of 4-(3’-Furanyl)butenolide Derivatives","Oxidative Cyclization–Dimerization Reaction of 2, 3‐Allenoic Acids and 1, 2‐Allenyl Ketones: An Efficient Synthesis of 4‐(3′‐Furanyl) butenolide Derivatives",,125,62.50%,55.56%
Tuning the Regioselectivity in Palladium(II)-Catalyzed Isomerization of Alkylidenecyclopropyl Ketones. A Dramatic Salt Effect,Tuning the Regioselectivity in the Palladium (II)‐Catalyzed Isomerization of Alkylidene Cyclopropyl Ketones: A Dramatic Salt Effect,,101,84.62%,62.50%
Tuning the Regioselectivity in the Coupling Reaction Involving Allenic/Propargylic Palladium Species. A Ligand Switch,Tuning of regioselectivity in the coupling reaction involving allenic/propargylic palladium species,,57,21.43%,36.36%
"Novel 1,3-lithium Shift of Propargylic/Allenylic Lithium and the Subsequent Transmetalation/Coupling Reaction with Aryl Halides","A 1, 3‐Lithium Shift of Propargylic/Allenylic Lithium and the Subsequent Transmetalation Coupling Reaction with Aryl Halides",,31,78.57%,68.75%
Probing the Mechanism of Palladium-Catalyzed Addition of Organoboronic Acids to Allenes in the Presence of AcOH with ESI-FTMS,Probing the Mechanism of the Palladium‐Catalyzed Addition of Organoboronic Acids to Allenes in the Presence of AcOH by ESI‐FTMS,H Guo,50,88.89%,78.95%
What Can a Metal Catalyst Do with Allenes? One-Step Building Up of New Steroid Scaffold from Easily Available Starting Materials,Expanding the organic toolbox: a guide to integrating biocatalysis in synthesis,,199,5.00%,9.09%
"1,4-Migration of Rhodium and Palladium in Catalytic Organometallic Reactions","1, 4‐Migration of Rhodium and Palladium in Catalytic Organometallic Reactions",,111,88.89%,80.00%
Gold-Catalyzed Cyclization of Enynes,Gold‐catalyzed cyclization of enynes,,368,25.00%,25.00%
"Pd(OAc)2-Catalyzed Coupling-Cyclization of 2,3-Allenoic Acids and Methyl Propiolate: An Unexpected p-Bond Migration Proceeds Through Double 1,7-Hydrogen Shifts","Pd (OAc) 2‐Catalyzed Coupling/Cyclization of 2, 3‐Allenoic Acids and Methyl Propiolate: Observation of Double 1, 7‐Hydrogen Shifts",,13,47.06%,41.18%
"Controllable [2+2]-Cycloadditions of 1,5-Bisallenyl-Substituted Compounds","Controllable [2+ 2] Cycloadditions of 1, 5‐Bisallenyl‐Substituted Compounds",,52,60.00%,37.50%
"Highly Selective Thiiranation of 1,2-Allenylic Sulfones with Br2 and Na2S2O3. Mechanistic Study and Asymmetric Synthesis of Alkylidenethiiranes","Highly Selective Thiiranation of 1, 2‐Allenyl Sulfones with Br2 and Na2S2O3: Mechanism and Asymmetric Synthesis of Alkylidenethiiranes",,35,76.47%,76.47%
"Pd(PPh3)4-Catalyzed Diastereoselective Synthesis of Four-membered trans-1,2-Diazetidines from 2,3-Allenyl Hydrazines and Aryl Halides","[Pd (PPh3) 4]‐Catalyzed Diastereoselective Synthesis of trans‐1, 2‐Diazetidines from 2, 3‐Allenyl Hydrazines and Aryl Halides",,33,66.67%,53.33%
"An Efficient Approach to 1,5,7,8,9-Pentahydrocyclopenta[h]-2-benzopyran-3-one Derivatives via Palladium-catalyzed Tandem Reaction of 2,7-Alkadiynylic Carbonates with 2,3-Allenoic Acids","… , 9‐Pentahydrocyclopenta [h]‐2‐Benzopyran‐3‐one Derivatives by a Palladium‐Catalyzed Tandem Reaction of 2, 7‐Alkadiynylic Carbonates with 2, 3‐Allenoic Acids",,16,43.75%,41.18%
Recent Advances on Asymmetric Synthesis via Metal-Catalyzed Enantioselective Allylation Reaction,"Boronic acids: preparation, applications in organic synthesis and medicine",,1259,0.00%,0.00%
Transition Metal-Catalyzed/Mediated Reaction of Allenes with A Nucleophilic Functionality Connected to the a-Carbon Atom,Transition metal-catalyzed/mediated reaction of allenes with a nucleophilic functionality connected to the α-carbon atom,,438,35.71%,35.71%
Electrophilic Addition and Cyclization Reactions of Allenes,Electrophilic addition and cyclization reactions of allenes,,277,42.86%,42.86%
Some Typical Advances in the Synthetic Applications of Allenes,Some typical advances in the synthetic applications of allenes,,814,44.44%,44.44%
Recent Adavances in the Chemistry of Allenes,[CITATION][C] Recent advances in the chemistry of allenes,,213,57.14%,50.00%
"Pd(0)-catalyzed Insertion-Cyclization Reaction of 2,3-Allenols with Aryl or Alkenyl Halides. Diastereoselective Synthesis of Highly Optically Active trans-2,3-Disubstituted Vinylic Oxiranes","Pd (0)-Catalyzed Insertion− Cyclization Reaction of 2, 3-Allenols with Aryl or Alkenyl Halides. Diastereoselective Synthesis of Highly Optically Active trans-2, 3 …",,102,68.42%,61.90%
"Novel Substituent and Chelating Effects in the Pd-Catalyzed Reaction of 2,3-Allenols, Aryl Iodides, and Amines. Highly Regio- and Stereo-selective Synthesis of 2-Amino-3-alken-1-olsor 4-Amino-2(E)-alken-1-ols","Novel substituent and chelating effects in the Pd-catalyzed reaction of 2, 3-allenols, aryl iodides, and amines. Highly regio-and stereoselective synthesis of 2-amino-3 …",,53,34.78%,40.91%
"Highly Regio- and Stereoselective Halohydroxylation Reaction of 1,2-Allenyl Phenyl Sulfoxides. Reaction Scope, Mechanism and the Corresponding Pd- or Ni-Catalyzed Selective Coupling Reactions","Highly regio-and stereoselective halohydroxylation reaction of 1, 2-allenyl phenyl sulfoxides. Reaction scope, mechanism, and the corresponding Pd-or Ni-catalyzed …",,98,22.73%,38.89%
"2,3,4- or 2,3,5-Trisubstituted Furans: Catalyst-Controlled Highly Regioselectively Ring-Opening Cycloisomerization Reaction of Cyclopropenyl Ketones","2, 3, 4-or 2, 3, 5-Trisubstituted furans: Catalyst-controlled highly regioselective ring-opening cycloisomerization reaction of cyclopropenyl ketones",,146,7.69%,6.25%
"A Novel X- (X=I, Br)-Triggered Ring-opening Coupling Reaction of Cyclopropenes with Organic Halides","An X-(X= I, Br)-triggered ring-opening coupling reaction of cyclopropenes with organic halides",Y Cai,42,15.38%,16.67%
Catalytic Regioselectivity Control in Ring-Opening Cycloisomerization of Methylene- or Alkylidenecyclopropyl Ketones,Catalytic regioselectivity control in ring-opening cycloisomerization of methylene-or alkylidenecyclopropyl ketones,,128,27.27%,30.00%
"PdCl2-Catalyzed Two-Component Cross-coupling Cyclization of 2,3-Allenoic Acids and 2,3-Allenols. An Efficient Synthesis of 4-(1’, 3’-Dien-2’-yl)-2-furanone Derivatives","PdCl2-Catalyzed Two-Component Cross-Coupling Cyclization of 2, 3-Allenoic Acids with 2, 3-Allenols. An Efficient Synthesis of 4-(1 ', 3 '-Dien-2 '-yl)-2 (5 H)-furanone …",,67,56.25%,40.91%
ESI-MS Studies on the Mechanism of Pd(0)-Catalyzed Three-Component Tandem Double Addition-Cyclization Reaction,ESI-MS studies on the mechanism of Pd (0)-catalyzed three-component tandem double addition-cyclization reaction,H Guo,67,33.33%,30.77%
"Sequential Rearrangement of 1,2,4Z,7-Tetraenes Involving [1,5]-Hydrogen Migration and Electrocyclization: An Efficient Synthesis of Eight-membered Cyclic Compounds","Sequential Rearrangement of 1, 2, 4 Z, 7-Tetraenes Involving [1, 5]-Hydrogen Migration and Electrocyclization: An Efficient Synthesis of Eight-Membered Cyclic …",,34,68.75%,55.00%
"Palladium Acetate-Catalyzed Cyclization Reaction of 2,3-Allenoic Acids in the Presence of Simple Allenes: An Efficient Synthesis of 4-(1’-Bromoprop-2’(Z)-en-2’-yl)furan-2(5H)-one Derivatives and the Synthetic Application","Palladium Acetate-Catalyzed Cyclization Reaction of 2, 3-Allenoic Acids in the Presence of Simple Allenes: An Efficient Synthesis of 4-(1 '-Bromoalk-2 '(Z)-en-2 '-yl) …",X Wang W Shu,46,69.57%,77.27%
"trans-RhCl(CO)(PPh3)2-Catalyzed Monomeric and Dimeric Cycloisomerization of Propargylic 2,3-Dienoates. Establishment of α,β-Unsaturated δ-Lactone Rings by Cyclometallation","trans-RhCl (CO)(PPh3) 2-catalyzed monomeric and dimeric cycloisomerization of propargylic 2, 3-dienoates. establishment of α, β-unsaturated δ-lactone rings by …",,40,20.00%,16.67%
"Iron-Catalyzed Highly Regio- and Stereoselective Conjugate addition of 2,3-Allenoates with Grignard Reagents","Iron-catalyzed highly regio-and stereoselective conjugate addition of 2, 3-allenoates with Grignard reagents",,60,33.33%,33.33%
"Novel Oxidative Cyclization/Dimerization Reaction of 2,3-Allenoic Acids and 1,2-Allenyl Ketones. An Efficient Synthesis of 4-(3’-Furanyl)butenolide Derivatives","Oxidative Cyclization–Dimerization Reaction of 2, 3‐Allenoic Acids and 1, 2‐Allenyl Ketones: An Efficient Synthesis of 4‐(3′‐Furanyl) butenolide Derivatives",,125,62.50%,55.56%
Tuning the Regioselectivity in Palladium(II)-Catalyzed Isomerization of Alkylidenecyclopropyl Ketones. A Dramatic Salt Effect,Tuning the Regioselectivity in the Palladium (II)‐Catalyzed Isomerization of Alkylidene Cyclopropyl Ketones: A Dramatic Salt Effect,,101,84.62%,62.50%
Tuning the Regioselectivity in the Coupling Reaction Involving Allenic/Propargylic Palladium Species. A Ligand Switch,Tuning of regioselectivity in the coupling reaction involving allenic/propargylic palladium species,,57,21.43%,36.36%
"Novel 1,3-lithium Shift of Propargylic/Allenylic Lithium and the Subsequent Transmetalation/Coupling Reaction with Aryl Halides","A 1, 3‐Lithium Shift of Propargylic/Allenylic Lithium and the Subsequent Transmetalation Coupling Reaction with Aryl Halides",,31,78.57%,68.75%
Probing the Mechanism of Palladium-Catalyzed Addition of Organoboronic Acids to Allenes in the Presence of AcOH with ESI-FTMS,Probing the Mechanism of the Palladium‐Catalyzed Addition of Organoboronic Acids to Allenes in the Presence of AcOH by ESI‐FTMS,H Guo,50,88.89%,78.95%
What Can a Metal Catalyst Do with Allenes? One-Step Building Up of New Steroid Scaffold from Easily Available Starting Materials,Expanding the organic toolbox: a guide to integrating biocatalysis in synthesis,,199,5.00%,9.09%
"1,4-Migration of Rhodium and Palladium in Catalytic Organometallic Reactions","1, 4‐Migration of Rhodium and Palladium in Catalytic Organometallic Reactions",,111,88.89%,80.00%
Gold-Catalyzed Cyclization of Enynes,Gold‐catalyzed cyclization of enynes,,368,25.00%,25.00%
"Pd(OAc)2-Catalyzed Coupling-Cyclization of 2,3-Allenoic Acids and Methyl Propiolate: An Unexpected p-Bond Migration Proceeds Through Double 1,7-Hydrogen Shifts","Pd (OAc) 2‐Catalyzed Coupling/Cyclization of 2, 3‐Allenoic Acids and Methyl Propiolate: Observation of Double 1, 7‐Hydrogen Shifts",,13,47.06%,41.18%
"Controllable [2+2]-Cycloadditions of 1,5-Bisallenyl-Substituted Compounds","Controllable [2+ 2] Cycloadditions of 1, 5‐Bisallenyl‐Substituted Compounds",,52,60.00%,37.50%
"Highly Selective Thiiranation of 1,2-Allenylic Sulfones with Br2 and Na2S2O3. Mechanistic Study and Asymmetric Synthesis of Alkylidenethiiranes","Highly Selective Thiiranation of 1, 2‐Allenyl Sulfones with Br2 and Na2S2O3: Mechanism and Asymmetric Synthesis of Alkylidenethiiranes",,35,76.47%,76.47%
"Pd(PPh3)4-Catalyzed Diastereoselective Synthesis of Four-membered trans-1,2-Diazetidines from 2,3-Allenyl Hydrazines and Aryl Halides","[Pd (PPh3) 4]‐Catalyzed Diastereoselective Synthesis of trans‐1, 2‐Diazetidines from 2, 3‐Allenyl Hydrazines and Aryl Halides",,33,66.67%,53.33%
"An Efficient Approach to 1,5,7,8,9-Pentahydrocyclopenta[h]-2-benzopyran-3-one Derivatives via Palladium-catalyzed Tandem Reaction of 2,7-Alkadiynylic Carbonates with 2,3-Allenoic Acids","… , 9‐Pentahydrocyclopenta [h]‐2‐Benzopyran‐3‐one Derivatives by a Palladium‐Catalyzed Tandem Reaction of 2, 7‐Alkadiynylic Carbonates with 2, 3‐Allenoic Acids",,16,43.75%,41.18%
Recent Advances on Asymmetric Synthesis via Metal-Catalyzed Enantioselective Allylation Reaction,"Boronic acids: preparation, applications in organic synthesis and medicine",,1259,0.00%,0.00%
"Highly Regio- and Stereoselective Double Michael Addition-Cyclization of 2,3-Allenoates with Organozinc Compounds. An Efficient Synthesis of 5-Benzylidenecyclohex-2-enones","Highly Regio‐and Stereoselective Double Michael Addition–Cyclization of 2, 3‐Allenoates with Organozinc Compounds: Efficient Synthesis of 5‐Benzylidenecyclohex …",,21,58.82%,62.50%
Palladium-Catalyzed Three-Component Cascade Cyclization Reaction of Bisallenes with Propargylic Carbonates and Organoboronic Acids: Efficient Construction of cis-Fused Bicyclo[4.3.0]nonenes,Palladium‐Catalyzed Three‐Component Cascade Cyclization Reaction of Bisallenes with Propargylic Carbonates and Organoboronic Acids: Efficient Construction of …,W Shu,34,72.22%,87.50%
A Novel Approach for the in Situ Synthesis of Pt-Pd Nanoalloys Supported on Fe3O4@C Core-Shell Nanoparticles with Enhanced Catalytic Activity for Reduction Reactions,A novel approach for the in situ synthesis of Pt–Pd nanoalloys supported on Fe3O4@ C core–shell nanoparticles with enhanced catalytic activity for reduction …,Y Huang,56,34.78%,34.78%
Conversion of Chicken Feather Waste to N-Doped Carbon Nanotubes for the Catalytic Reduction of 4-Nitrophenol,Conversion of chicken feather waste to N-doped carbon nanotubes for the catalytic reduction of 4-nitrophenol,C Chen,32,40.00%,40.00%
Doped graphene for metal-free catalysis,Doped graphene for metal-free catalysis,CL Chen,292,100.00%,100.00%
Dual-Layer-Structured Nickel Hexacyanoferrate/MnO2 Composite as a High-Energy Supercapacitive Material Based on the Complementarity and Interlayer Concentration Enhancement Effect,Dual-layer-structured nickel hexacyanoferrate/MnO2 composite as a high-energy supercapacitive material based on the complementarity and interlayer concentration …,,26,27.78%,31.25%
Facile Fabrication of Porous NixCo3-xO4 Nanosheets with Enhanced Electrochemical Performance As Anode Materials for Li-Ion Batteries,Facile Fabrication of Porous Ni x Co3–x O4 Nanosheets with Enhanced Electrochemical Performance As Anode Materials for Li-Ion Batteries,,66,93.75%,78.95%
Hollow/porous nanostructures derived from nanoscale metal-organic frameworks towards high performance anodes for lithium-ion batteries,Hollow/porous nanostructures derived from nanoscale metal–organic frameworks towards high performance anodes for lithium-ion batteries,,136,92.86%,92.86%
Magnetically responsive photonic watermarks on banknotes,Magnetically responsive photonic watermarks on banknotes,C Chen,31,100.00%,100.00%
Multifunctional mesoporous nanoparticles as pH-responsive Fe2+ reservoirs and artemisinin vehicles for synergistic inhibition of tumor growth,Multifunctional mesoporous nanoparticles as pH-responsive Fe 2+ reservoirs and artemisinin vehicles for synergistic inhibition of tumor growth,J Chen WJ Zhang,14,93.75%,88.24%
One for Two: Conversion of Waste Chicken Feathers to Carbon Microspheres and (NH4)HCO3,One for two: Conversion of waste chicken feathers to carbon microspheres and (NH4) HCO3,C Chen,7,46.15%,42.86%
