Electrochemical Behavior of Single-walled Carbon Nanotube Supercapacitors under Compressive Stress,Electrochemical behavior of single-walled carbon nanotube supercapacitors under compressive stress,,150,30.00%,30.00%
Photocatalytic Hydrogen Evolution on Hybrid Catalyst of MWNTs and TiO2 Nanoparticles under Visible Light Irradiation,Photocatalytic hydrogen generation using a nanocomposite of multi-walled carbon nanotubes and TiO2 nanoparticles under visible light irradiation,K Dai,134,33.33%,29.41%
Controllable Synthesis of Various In2O3 Submicron/Nano-structures Using Chemical Vapor Deposition,Controllable synthesis of various In2O3 submicron/nanostructures using chemical vapor deposition,,38,30.00%,30.00%
Wide-Temperature Range Operation Supercapacitors from Nanostructured Activated Carbon Fabric.,Wide-temperature range operation supercapacitors from nanostructured activated carbon fabric,,101,11.11%,11.11%
Long Cycle Electrochemical Behavior of Multiwall Carbon Nanotubes Synthesized on Stainless Steel in Li-ion Battery.,Long‐Cycle Electrochemical Behavior of Multiwall Carbon Nanotubes Synthesized on Stainless Steel in Li Ion Batteries,H Zhu,133,73.33%,73.33%
Anthocyanin-sensitized solar cell using carbon nanotube films as counter electrodes.,Anthocyanin-sensitized solar cells using carbon nanotube films as counter electrodes,H Zhu,105,80.00%,80.00%
Microstructural features and mechanical properties of carbon nanotubes reinforced aluminum-based metal matrix composites,Microstructural features and mechanical properties of carbon nanotubes reinforced aluminum-based metal matrix composites,,10,100.00%,100.00%
Nanostructured Manganese Oxides and their Composites with Carbon Nanotubes as Electrode Materials for Energy Storage Devices.,Nanostructured manganese oxides and their composites with carbon nanotubes as electrode materials for energy storage devices,H Zhu,34,37.50%,37.50%
Assembly and Applications of Carbon Nanotube Thin Films,Assembly and applications of carbon nanotube thin films,H Zhu,23,37.50%,37.50%
Growth of Carbon Nanofibers on Carbon Fabric using Ni Nanocatalyst Prepared by Pulse Electrodeposition,Growth of carbon nanofibers on carbon fabric with Ni nanocatalyst prepared using pulse electrodeposition,,17,35.71%,35.71%
Alcohol-Assisted Room Temperature Synthesis of Different Nanostructured Manganese Oxides and Their Pseudocapacitance Properties in Neutral Electrolyte,Alcohol-assisted room temperature synthesis of different nanostructured manganese oxides and their pseudocapacitance properties in neutral electrolyte,H Zhu,128,18.75%,18.75%
Novel Microwave Synthesis of Nanocrystalline SnO2 and Its Electrochemical Properties,Novel microwave synthesis of nanocrystalline SnO2 and its electrochemical properties,H Zhu,86,40.00%,40.00%
Self-Assembly of Multiwall Carbon Nanotubes from Quench-Condensed CNi3 Films.,Self-Assembly of Multiwall Carbon Nanotubes from Quench-Condensed CNi3 Films,,0,88.89%,88.89%
Controlled Synthesis of NiC2O4�2H2O Nanorod Precursors and Their Applications in Synthesis of Various Nickel Nanostructures,Optical and electrochemical properties of nanosized NiO via thermal decomposition of nickel oxalate nanofibres,X Wang,176,20.00%,21.43%
he effect of sulfur on the number of layers in a carbon nanotube,The effect of sulfur on the number of layers in a carbon nanotube,H Zhu C Li Y Zhu,50,92.31%,92.31%
Adhesion between Carbon Nanotubes and Substrate: Mimicking the Gecko Foothair.,Adhesion between carbon nanotubes and substrate: mimicking the gecko foot-hair,W Zhou Y Huang B Liu J Wu,13,40.00%,40.00%
Directly Grow Aligned Multiwall Carbon Nanotubes on Treated Stainless Steel Substrates.,Direct growth of aligned multiwalled carbon nanotubes on treated stainless steel substrates,,94,9.09%,8.33%
Thermal Stability of Carbon Nanotube Based Field Emission Diodes,Thermal stability of carbon-nanotube-based field emission diodes,,11,22.22%,28.57%
Direct fabrication of single-walled carbon nanotube macro-films,Direct fabrication of single-walled carbon nanotube macro-films on flexible substrates,H Zhu,63,100.00%,70.00%
Supercapacitors from Activated Banana Fiber Carbon,Supercapacitors from activated carbon derived from banana fibers,,241,50.00%,25.00%
Luminescence of carbon nanotube bulbs,Luminescence of carbon nanotube bulbs,HW Zhu,8,100.00%,100.00%
Room Temperature Ferromagnetism in Graphitic Nanoclusters,Room Temperature Ferromagnetism in Graphitic Nanoclusters,S Talapatra S Kar,1,100.00%,100.00%
Electrical Characterization of Carbon Nanotube Structures,Electrical characterization of carbon nanotube structures,YJ Jung,5,33.33%,33.33%
Pressure-Induced Transition in Magnetoresistance of Single-Walled Carbon Nanotubes,Pressure-induced transition in magnetoresistance of single-walled carbon nanotubes,HW Zhu,37,25.00%,25.00%
High Rate Lithium Reversibility in Carbon Nanofibers,High rate reversibility anode materials of lithium batteries from vapor-grown carbon nanofibers,H Zhu,115,14.29%,8.33%
Ultrathin single-layered membranes from double-walled carbon nanotubes.,Ultrathin Single–Layered Membranes from Double–Walled Carbon Nanotubes,H Zhu,60,28.57%,28.57%
Synthesis and Electrochemical Characterizations of Amorphous Manganese Oxide and Single Walled Carbon Nanotube Composites as Supercapacitor Electrode Materials.,Synthesis and electrochemical characterizations of amorphous manganese oxide and single walled carbon nanotube composites as supercapacitor electrode …,H Zhu,275,27.78%,29.41%
Room Temperature Ferromagnetism in Doped FCC Fe Nanoparticles,Monodisperse FePt nanoparticles and ferromagnetic FePt nanocrystal superlattices,S Sun CB Murray D Weller L Folks,6328,0.00%,0.00%
Nanostructured MnO2: Hydrothermal Synthesis and electrochemical Properties as a Supercapacitor Electrode Material,Nanostructured MnO 2: hydrothermal synthesis and electrochemical properties as a supercapacitor electrode material,H Zhu,285,41.67%,38.46%
Anisotropic thermal diffusivity of aligned multiwall carbon nanotube arrays,Anisotropic thermal diffusivity of aligned multiwall carbon nanotube arrays,T Borca-Tasciuc S Vafaei,68,100.00%,100.00%
Hydrothermal Synthesis and Psuedocapacitance properties of MnO2 nanostructures,Hydrothermal synthesis and pseudocapacitance properties of MnO2 nanostructures,H Zhu,774,75.00%,75.00%
Specific Heat of Aligned Multi-Walled Carbon Nanotubes,Specific heat of aligned multiwalled carbon nanotubes,,65,28.57%,28.57%
Thermoelectric power of a single-walled carbon nanotubes strand,Thermoelectric power of a single-walled carbon nanotubes strand,HW Zhu,37,100.00%,100.00%
Ion-implantation-prepared catalyst nanoparticles for growth of carbon nanotubes,Ion-implantation-prepared catalyst nanoparticles for growth of carbon nanotubes,AR Adhikari,21,100.00%,100.00%
Synthesis and Characterization of Thickness-Aligned Carbon Nanotube-Polymer Composite Films,Synthesis and Characterization of Thickness-Aligned Carbon Nanotube− Polymer Composite Films,LS Schadler,169,88.89%,80.00%
Synthesis of assembled copper nanoparticles from copper-chelating glycolipid nanotubes,Synthesis of assembled copper nanoparticles from copper-chelating glycolipid nanotubes,H Zhu,19,100.00%,100.00%
Super Small Energy Gaps of Single-Walled Carbon Nanotube Strands,Super-small energy gaps of single-walled carbon nanotube strands,H Zhu,22,11.11%,12.50%
Large-Scale Synthesis of Long Double Walled Carbon Nanotubes,Large-scale synthesis of long double-walled carbon nanotubes,,89,12.50%,14.29%
Carbon Nanotube Filaments in Household Light Bulbs,Carbon nanotube filaments in household light bulbs,H Zhu,115,28.57%,28.57%
Carbon Nanotubes under High Electric Field,Electric-field-directed growth of aligned single-walled carbon nanotubes,Y Zhang,823,0.00%,0.00%
Capillarity Directed Assembly of Cellular Two-dimensional Carbon Nanotube Foams,Capillarity-driven assembly of two-dimensional cellular carbon nanotube foams,,287,11.11%,12.50%
Vertically Aligned Conductive Carbon Nanotube Junctions and Arrays for Device Applications,Vertically aligned conductive carbon nanotube junctions and arrays for device applications,,13,27.27%,27.27%
Graphitic wings onto carbon nanotubes.,Mechanics of carbon nanotubes,D Qian GJ Wagner WK Liu,1146,20.00%,25.00%
Building and testing organized architectures of carbon nanotubes,Building and testing organized architectures of carbon nanotubes,YJ Jung A Cao,22,100.00%,100.00%
"Competitive adsorption of Pb2+, Cu2+ and Cd2+ ions from aqueous solutions by multiwalled carbon nanotubes","Competitive adsorption of Pb 2+, Cu 2+ and Cd 2+ ions from aqueous solutions by multiwalled carbon nanotubes",,713,80.00%,66.67%
Removal of Cu2+ ions from aqueous solutions by carbon nanotubes,Removal of Cu2+ ions from aqueous solutions by carbon nanotubes,,71,100.00%,100.00%
Removal of fluoride from water by carbon nanotube supported alumina,Removal of fluoride from water by carbon nanotube supported alumina,S Wang,36,100.00%,100.00%
Selective activation and passivation of catalysts via substrate mediation,Selective activation and passivation of nanoparticle catalysts through substrate mediation,T Ogino,8,88.89%,80.00%
High resolution tracking of non-rigid 3D motion of densely sampled 3D data using harmonic maps,High resolution tracking of non-rigid motion of densely sampled 3D data using harmonic maps,Y Wang M Gupta S Zhang S Wang X Gu,74,93.33%,107.14%
Phase Error Compensation for a 3-D Shape Measurement System Based on the Phase Shifting Method,Phase error compensation for a 3-D shape measurement system based on the phase-shifting method,S Zhang,116,40.00%,50.00%
"High-resolution, real-time three-dimensional shape measurement","High-resolution, real-time three-dimensional shape measurement",S Zhang,367,100.00%,100.00%
Novel method for structured light system calibration,Novel method for structured light system calibration,S Zhang,467,100.00%,100.00%
Fast three-step phase-shifting algorithm,Fast three-step phase-shifting algorithm,S Zhang,177,100.00%,100.00%
Wavelet-based pavement distress detection and evaluation,Wavelet-based pavement distress detection and evaluation,J Zhou,113,100.00%,100.00%
Color phase-shifting technique for three-dimensional shape measurement,Color phase-shifting technique for three-dimensional shape measurement,,93,100.00%,100.00%
Trapezoidal phase-shifting method for three-dimensional shape measurement,Trapezoidal phase-shifting method for three-dimensional shape measurement,S Zhang,77,100.00%,100.00%
Wavelet based pavement distress classification,Wavelet-based pavement distress classification,J Zhou,37,60.00%,75.00%
Color-coded Binary Fringe Projection Technique for 3-D Shape Measurement,Color-coded binary fringe projection technique for 3-D shape measurement,,113,33.33%,33.33%
"High resolution acquisition, learning and transfer of dynamic 3D facial expressions","High Resolution Acquisition, Learning and Transfer of Dynamic 3‐D Facial Expressions",Y Wang X Huang CS Lee S Zhang Z Li,163,27.27%,27.27%
High speed 3-D shape measurement based on digital fringe projection,High-speed 3-D shape measurement based on digital fringe projection,,324,80.00%,88.89%
Error compensation for a three-dimensional shape measurement system,Error compensation for a three-dimensional shape measurement system,,42,100.00%,100.00%
Calibration of a three-dimensional shape measurement system,Calibration of a three-dimensional shape measurement system,,150,100.00%,100.00%
Microscopic phase-shifting profilometry based on digital micromirror device technology,Microscopic phase-shifting profilometry based on digital micromirror device technology,,72,100.00%,100.00%
Jacquet modules and Dirac cohomology,Jacquet modules and Dirac cohomology,CP Dong,8,100.00%,100.00%
Dirac Cohomology of some Harish-Chandra Modules,Dirac cohomology of some Harish-Chandra modules,P Pandžić,30,66.67%,66.67%
Double Vogan diagrams and semisimple symmetric spaces,Double Vogan diagrams and semisimple symmetric spaces,,19,100.00%,100.00%
Dirac Cohomology for Lie Superalgebras,Dirac cohomology for Lie superalgebras,P Pandžić,17,60.00%,60.00%
GENERALIZED SPHERICAL FUNCTIONS ON REDUCTIVE p-ADIC GROUPS,Generalized spherical functions on reductive 𝑝-adic groups,M Tadić,1,0.00%,0.00%
Admissible Square Quadruplets and Semisimple Symmetric Spaces,Admissible square quadruplets and semisimple symmetric spaces,,4,28.57%,28.57%
Invariant differential operators and eigenspace representations on an affine symmetric space,Invariant differential operators and eigenspace representations on an affine symmetric space,,1,100.00%,100.00%
Unipotent representations attached to spherical nilpotent orbits,Unipotent representations attached to spherical nilpotent orbits,,21,100.00%,100.00%
Unipotent representations of G 2 arising from the minimal representation of D E 4,Unipotent representations of G~ 2 arising from the minimal representation of D^ E~ 4,,21,78.57%,78.57%
"Kazhdan-Patterson lifting for GL(n,ℝ)","Kazhdan-Patterson lifting for GL (n, R)",J Adams,9,75.00%,50.00%
Harmonic analysis on compact polar homogeneous spaces.,Harmonic analysis on compact polar homogeneous spaces,,8,85.71%,85.71%
Plancherel formulae for non-symmetric polar homogeneous spaces.,Plancherel formulae for non-symmetric polar homogeneous spaces,,0,85.71%,85.71%
Dimensions of Spaces of Generalized Spherical Functions,Dimensions of spaces of generalized spherical functions,N Wallach,8,42.86%,42.86%
Intertwining differential operators and reducibility of generalized Verma modules,Intertwining differential operators and reducibility of generalized Verma modules,,12,100.00%,100.00%
An interval-parameter mean-CVaR two-stage stochastic programming approach for waste management under uncertainty,An interval-parameter mean-CVaR two-stage stochastic programming approach for waste management under uncertainty,,11,100.00%,100.00%
The identification of optimal CO2 emissions-trading strategies based on an inexact two-stage chance-constrained programming approach,The Identification of Optimal Co2 Emissions-Trading Strategies Based on an Inexact Two-Stage Chance-Constrained Programming Approach,Z Wang C Dong,3,26.67%,26.67%
A hybrid fuzzy-stochastic programming method for water trading within an agricultural system,A hybrid fuzzy-stochastic programming method for water trading within an agricultural system,,27,100.00%,100.00%
"An inexact optimization model for energy-environment systems management in the mixed fuzzy, dual-interval and stochastic environment","An inexact optimization model for energy-environment systems management in the mixed fuzzy, dual-interval and stochastic environment",,7,100.00%,100.00%
A hybrid interval-parameter fuzzy robust programming method and its application to filter management strategy in fluid power systems,A hybrid interval-parameter fuzzy robust programming method and its application to filter management strategy in fluid power systems,,1,100.00%,100.00%
An integrated approach for water resources decision making under interactive and compound uncertainties,An integrated approach for water resources decision making under interactive and compound uncertainties,S Wang GH Huang,32,100.00%,100.00%
A Robust Inexact Joint-optimal α cut Interval Type-2 Fuzzy Boundary Linear Programming (RIJ-IT2FBLP) for energy systems planning under uncertainty,A Robust Inexact Joint-optimal α cut Interval Type-2 Fuzzy Boundary Linear Programming (RIJ-IT2FBLP) for energy systems planning under uncertainty,YR Fan,10,100.00%,100.00%
Identification of management strategies for CO2 capture and sequestration under uncertainty through inexact modeling,Identification of management strategies for CO 2 capture and sequestration under uncertainty through inexact modeling,X Zhang,22,92.86%,86.67%
Interval fuzzy robust dynamic programming for nonrenewable energy resources management with chance constraints,Interval fuzzy robust dynamic programming for nonrenewable energy resources management with chance constraints,L Liu,3,100.00%,100.00%
An interval parameter optimization model for sustainable power systems planning under uncertainty,An interval parameter optimization model for sustainable power systems planning under uncertainty,MY Zhai,11,100.00%,100.00%
Planning of regional energy systems: An inexact mixed-integer fractional programming model,Planning of regional energy systems: An inexact mixed-integer fractional programming model,WW Huang GH Huang,34,100.00%,100.00%
An integrated optimization modeling approach for planning emission trading and clean-energy development under uncertainty,An integrated optimization modeling approach for planning emission trading and clean-energy development under uncertainty,,27,100.00%,100.00%
Mathematical modeling for resources and environmental systems,Mathematical modeling for resources and environmental systems,GH Huang,0,100.00%,100.00%
Mathematical modeling for water quality management under interval and fuzzy uncertainties,Mathematical modeling for water quality management under interval and fuzzy uncertainties,,7,100.00%,100.00%
Coupled planning of water resources and agricultural land-use based on an inexact-stochastic programming model,Coupled planning of water resources and agricultural landuse based on an inexact-stochastic programming model,C Dong G Huang,20,92.86%,92.86%
An inexact fuzzy-random-chance-constrained air quality management model,An inexact fuzzy-random-chance-constrained air quality management model,,7,100.00%,100.00%
Optimization of environmental management strategies through a dynamic stochastic possibilistic multiobjective program,Optimization of environmental management strategies through a dynamic stochastic possibilistic multiobjective program,X Zhang,15,100.00%,100.00%
Optimal land use management for soil erosion control by using an interval-parameter fuzzy two-stage stochastic programming approach,Optimal land use management for soil erosion control by using an interval-parameter fuzzy two-stage stochastic programming approach,H Zhang Z Li,18,100.00%,100.00%
Electric power system planning under uncertainty using inexact inventory nonlinear programming method,Electric Power System Planning under Uncertainty Using Inexact Inventory Nonlinear Programming Method.,,36,16.67%,16.67%
Modeling for planning municipal electric power systems associated with air pollution control - A case study of Beijing,Modeling for planning municipal electric power systems associated with air pollution control–A case study of Beijing,,14,83.33%,93.75%
A stepwise cluster analysis approach for downscaled climate projection - A Canadian case study,A stepwise cluster analysis approach for downscaled climate projection–A Canadian case study,X Wang G Cheng Y Fan,27,78.57%,100.00%
A factorial-based dynamic analysis method for reservoir operation under fuzzy-stochastic uncertainties,A factorial-based dynamic analysis method for reservoir operation under fuzzy-stochastic uncertainties,YP Li,16,100.00%,100.00%
An inexact robust optimization method for supporting carbon dioxide emissions management in regional electric-power systems,An inexact robust optimization method for supporting carbon dioxide emissions management in regional electric-power systems,C Chen,12,100.00%,100.00%
Inexact chance-constrained waste-load allocation model for water quality management of Xiangxihe River,Inexact chance-constrained waste-load allocation model for water quality management of Xiangxihe River,,13,100.00%,100.00%
Robust fully fuzzy programming with fuzzy set ranking method for environmental systems planning under uncertainty,Robust fully fuzzy programming with fuzzy set ranking method for environmental systems planning under uncertainty,GH Huang L Wang,7,100.00%,100.00%
A stochastic-fuzzy programming model with soften constraints for electricity generation planning with greenhouse-gas abatement,A stochastic‐fuzzy programming model with soften constraints for electricity generation planning with greenhouse‐gas abatement,,7,85.71%,85.71%
"Inexact quadratic joint-probabilistic programming for water quality management under uncertainty in the Xiangxi River, China","Inexact quadratic joint-probabilistic programming for water quality management under uncertainty in the Xiangxi River, China",,13,100.00%,100.00%
Inexact stochastic dynamic programming method and application to water resources management in Shandong China under uncertainty,Inexact stochastic dynamic programming method and application to water resources management in Shandong China under uncertainty,,10,100.00%,100.00%
Simulation-based variance components analysis for characterization of interaction effects of random factors on trichloroethylene vapor transport in unsaturated porous media,Simulation-based variance components analysis for characterization of interaction effects of random factors on trichloroethylene vapor transport in unsaturated porous …,S Wang GH Huang,6,90.00%,94.74%
An inexact fuzzy programming approach for power coal blending,An inexact fuzzy programming approach for power coal blending,C Dong,22,100.00%,100.00%
An interval-parameter two-stage stochastic fuzzy program with type-2 membership functions: An application to water resources management,An interval-parameter two-stage stochastic fuzzy program with type-2 membership functions: an application to water resources management,S Wang GH Huang,20,93.75%,100.00%
