line,title,author,cited_num,relate,reverse_relate
Tin Sulfide @Reduced Graphene Oxide Nanocomposite for High Efficiency Dye-Sensitized Solar Cells.,Nanocomposite of tin sulfide nanoparticles with reduced graphene oxide in high-efficiency dye-sensitized solar cells,P Chen,39,8.33%,7.14%
The dependence of structural stability and tunable gap on the Si components of ZnSe/Si bi-coaxial nanowire heterostructures.,The dependence of structural stability and tunable gap on the Si components of ZnSe/Si Bi-coaxial nanowire heterostructures,Y Huang,4,88.24%,88.24%
Effect of electrodes on geometric and transport properties of the graphene-based nanomolecular devices.,Effect of Electrodes on Geometric and Transport Properties of the Graphene-Based Nanomolecular Devices,,1,46.15%,46.15%
Geometry and stability of Cu(n)N (n=1-6) and Cu(3n)N(n) (n=1-5) clusters.,Geometry and stability of   and   clusters,F Li,2,50.00%,50.00%
Study on human case of avian influenza in Guangzhou 2006 without causing human-to-human transmission among close contacts.,Study on human case of avian influenza in Guangzhou 2006 without causing human-to-human transmission among close contacts,YL Wang,0,94.12%,94.12%
The effects of 4 laboratory test kits in early detecting of severe acute respiratory syndrome coronavirus,The effects of 4 laboratory test kits in early detecting of severe acute respiratory syndrome coronavirus,M Wang Y Gao,0,100.00%,100.00%
Study on the epidemiology and measures for control on severe acute respiratory syndrome in Guangzhou city,Study on the epidemiology and measures for control on severe acute respiratory syndrome in Guangzhou city,,19,100.00%,100.00%
In vivo Nonlinear Optical Imaging of Immune Responses: Tissue Injury and Infection,In vivo nonlinear optical imaging of immune responses: tissue injury and infection,Q Sun S He J Jiang Z Wen,1,33.33%,33.33%
In vivo micro-vascular imaging and flow cytometry in zebrafish using two-photon excited endogenous fluorescence,In vivo micro-vascular imaging and flow cytometry in zebrafish using two-photon excited endogenous fluorescence,Q Sun S He J Jiang,10,100.00%,100.00%
Label-free multimodal nonlinear optical microscopy reveals fundamental insights of skeletal muscle development,Label-free multimodal nonlinear optical microscopy reveals fundamental insights of skeletal muscle development,Q Sun S He,12,100.00%,100.00%
Scalable hybrid data dissemination for internet hot spots. Case Western Reserve University 2008,Scalable hybrid data dissemination for internet hot spots,,1,53.85%,87.50%
Copper Deposition and Growth over ZnO Non-polar (1010) and (1020) Surface: A Density Functional Theory Study,Copper Deposition and Growth over ZnO Nonpolar (101̅0) and (112̅0) Surfaces: A Density Functional Theory Study,WP Guo,32,75.00%,75.00%
A Theoretical Investigation into Thiophene Cracking Mechanism over Pure Brønsted Acidic Zeolites,A theoretical investigation into the thiophene-cracking mechanism over pure Brønsted acidic zeolites,W Guo,30,33.33%,33.33%
"Optical dating of Holocene dune sands from the Hulun Buir Desert, northeastern China.","Optical dating of Holocene dune sands from the Hulun Buir Desert, northeastern China",SH Li,58,92.31%,92.31%
Analyses of n-alkanes degrading community dynamics of a high-temperature methanogenic consortium enriched from production water of a petroleum reservoir by a combination of molecular techniques.,Analyses of n-alkanes degrading community dynamics of a high-temperature methanogenic consortium enriched from production water of a petroleum reservoir by a …,SM Mbadinga JD Gu,46,80.00%,104.76%
Patterning the embryo in higher plants: Emerging pathways and challenges.,Patterning the embryo in higher plants: Emerging pathways and challenges,WC Yang,3,90.00%,90.00%
Forced notch signaling inhibits commissural axon outgrowth in the developing chick central nerve system.,Forced notch signaling inhibits commissural axon outgrowth in the developing chick central nerve system,Z Liu,5,92.86%,92.86%
"Presynaptic localization of a metabotropic glutamate receptor, mGluR7, in the primary afferent neurons: an immunohistochemical study in the rat","Presynaptic localization of a metabotropic glutamate receptor, mGluR7, in the primary afferent neurons: an immunohistochemical study in the rat",,139,100.00%,100.00%
Magnetically correlated internal friction and Young's modulus in La(Y)-Ca-Mn-O perovskites,Magnetically correlated internal friction and Young's modulus in La (Y)-Ca-Mn-O perovskites,,27,90.00%,81.82%
Local density approximation combined with Gutzwiller method for correlated electron systems: Formalism and applications,Local density approximation combined with Gutzwiller method for correlated electron systems: Formalism and applications,XY Deng L Wang X Dai,94,100.00%,100.00%
The Antimony-Based Type I Clathrate Compounds Cs8Cd18Sb28 and Cs8Zn18Sb28.,The Antimony‐Based Type I Clathrate Compounds Cs8Cd18Sb28 and Cs8Zn18Sb28,LH Li,34,77.78%,77.78%
"Cenozoic Exhumation and Thrusting in the Northern Qilian Shan, Northeastern Margin of the Tibetan Plateau: Constraints from Sedimentological and Apatite Fission-Track Data","Cenozoic Exhumation and Thrusting in the Northern Qilian Shan, Northeastern Margin of the Tibetan Plateau: Constraints from Sedimentological and Apatite Fission …",J LU,22,90.91%,95.24%
Nano neodymium oxide induces massive vacuolization and autophagic cell death in cancer cells,Nano neodymium oxide induces massive vacuolization and autophagic cell death in non-small cell lung cancer NCI-H460 cells,C Feng,106,107.69%,76.47%
"Nitric Oxide Acting as the Possible Intercellular Signaling Molecule in the Initiation of Radiation Induced DNA Double Strand Breaks in Non-irradiated Bystander Cells elegans,",Induction of radioresistance by a nitric oxide-mediated bystander effect,,222,4.17%,11.11%
Phase transformation in quenched mesomorphic isotactic polypropylene.,Phase transformation in quenched mesomorphic isotactic polypropylene,BS Hsiao,124,85.71%,85.71%
The control mechanisms for gas hydrate production by depressurization in different scale hydrate reservoirs.,Control mechanisms for gas hydrate production by depressurization in different scale hydrate reservoirs,XS Li,89,78.57%,84.62%
Elastic Waves in a Hyperelastic Solid Near Its Plane Strain Equibiaxial Cohesive Limit0,Elastic waves in a hyperelastic solid near its plane-strain equibiaxial cohesive limit,H Gao,39,23.08%,25.00%
Altered regulation of Src upon cell detachment protects human lung adenocarcinoma cells from anoikis.,Altered regulation of Src upon cell detachment protects human lung adenocarcinoma cells from anoikis,,85,92.86%,92.86%
Characterization of the intramolecular G-quadruplex promoting activity of Est1,Characterization of the intramolecular G‐quadruplex promoting activity of Est1,QJ Li XJ Tong,8,88.89%,88.89%
"Identifying Multiple Configurations of Complex Molecules in Dynamical Processes: Time Resolved Tunneling Spectroscopy and Density Functional Theory Calculation""",Identifying multiple configurations of complex molecules in dynamical processes: time resolved tunneling spectroscopy and density functional theory calculation,YY Zhang N Jiang HG Zhang L Gao SX Du,22,22.22%,22.22%
Increased number of vasopressin neurons in the suprachiasmatic nucleus (SCN) of ‘bisexual’ adult male rats fllowing perinatal treatment with the aromataes blocker ATD. Dev.,Increased number of vasopressin neurons in the suprachiasmatic nucleus (SCN) of 'bisexual'adult male rats following perinatal treatment with the aromatase blocker …,,52,70.83%,80.95%
Mutational data integration in gene-oriented files of Hermansky-Pudlak syndrome database.,Mutational data integration in gene‐oriented files of the Hermansky‐Pudlak Syndrome database,W Li H Zhou P Liang,34,60.00%,54.55%
Artificial evolution of graphene oxide chemzyme with enantioselectivity and near-infrared photothermal effect for cascade biocatalysis reactions.,Artificial Evolution of Graphene Oxide Chemzyme with Enantioselectivity and Near‐Infrared Photothermal Effect for Cascade Biocatalysis Reactions,M Li L Wu J Ren,11,31.25%,31.25%
Insights into the biomedical effects of carboxylated single-wall carbon nanotubes on telomerase and telomeres.,Insights into the biomedical effects of carboxylated single-wall carbon nanotubes on telomerase and telomeres,L Wu J Ren,61,92.86%,92.86%
Low temperature synthesis of diamond thin films through graphite etching in a microwave hydrogen plasma,[CITATION][C] Low temperature synthesis of diamond thin films through graphite etching in a microwave hydrogen plasma,A Hirose M Bradley,13,100.00%,93.75%
Migration Pathways of Oxygen and the Formation of Oxygenated Intermediates in Oxygenated Fuel Combustion,Migration pathways of oxygen and the formation of oxygenated intermediates in oxygenated fuel combustion,,1,42.86%,42.86%
Hyperbolic mean curvature flow,Hyperbolic mean curvature flow,K Liu,22,100.00%,100.00%
Holomorphic equivariant cohomology,Holomorphic equivariant cohomology,K Liu,23,100.00%,100.00%
Band Gap Scaling of Graphene Nanohole Superlattices,Band-gap scaling of graphene nanohole superlattices,ZF Wang J Yang F Liu,95,14.29%,16.67%
Lanthanum Zirconate ceramic toughened by BaTiO3 secondary phase,Lanthanum zirconate ceramic toughened by BaTiO 3 secondary phase,,38,75.00%,66.67%
A supramolecular chiroptical switch exclusively from an achiral amphiphile,A supramolecular chiroptical switch exclusively from an achiral amphiphile,L Zhang,75,100.00%,100.00%
Two-channel microphone array processing for speech enhancement.,Two-channel microphone array processing for speech enhancement,,2,85.71%,85.71%
Distribution and sea-air flux of biogenic climatic gas– dimethylsulphide (DMS) in the Jiaozhou Bay.,Distribution and sea-air flux of biogenic climatic gas-dimethylsulphide (dms) in JiaoZhou Bay,,0,57.14%,66.67%
New Method for accurate prediction of solvent accessibility from protein sequence.,New method for accurate prediction of solvent accessibility from protein sequence,,66,81.82%,81.82%
"Interaction of Methane with Surface of Silica, Alumina and HZSM-5 Zeolite: Acomparative FT-IR Study","Interaction of methane with surfaces of silica, aluminas and HZSM-5 zeolite. A comparative FT-IR study",,26,50.00%,46.67%
Static hedging with uncertain quantity and departure from the cost-of-carry valuation,Static Hedging with Uncertain Quantity and Departure from the Cost-of-Carry Valuation,,0,45.45%,45.45%
Shill bidding in online English auctions with a random number of bidders,Shill bidding in online English auctions with a random number of bidders,,8,100.00%,100.00%
Non-autonomous dynamics of wave equations with nonlinear damping and critical nonlinearity,Non-autonomous dynamics of wave equations with nonlinear damping and critical nonlinearity,J Duan,30,100.00%,100.00%
Copper uptake by Elsholtzia splendens and Silene vulgaris and assessment of copper phytoavailability in contaminated soils.,Copper uptake by Elsholtzia splendens and Silene vulgaris and assessment of copper phytoavailability in contaminated soils,FJ Zhao SP McGrath,213,93.75%,93.75%
"Carbon, nitrogen and antioxidant enzyme responses of Potamogeton crispus to both low-light and high-nutrient stresses.","Carbon, nitrogen and antioxidant enzyme responses of Potamogeton crispus to both low light and high nutrient stresses",,65,80.00%,70.59%
