line,title,author,cited_num,relate,reverse_relate
Magnetoresistance of 3d transition metal single-doped and co-doped epitaxial ZnO thin films,Magnetoresistance of 3d transition metal single-doped and co-doped epitaxial ZnO thin films,MH Lu,4,100.00%,100.00%
Weak-link behavior of grain boundaries in superconducting Ba(Fe1−xCo)2As2 bicrystals,Weak-link behavior of grain boundaries in superconducting  bicrystals,S Lee J Jiang JD Weiss,207,88.89%,88.89%
"Structural, optical, magnetic and electrical properties of Zn1-xCox O thin films",Diluted magnetic semiconductor properties of Zn 1− x Co x O: 1 at% Al thin films prepared by pulsed DC magnetron sputtering,,6,45.45%,22.73%
Structural and thermoelectric properties of Bi2Sr2Co2Oy thin films on LaAlO3 (100) and fused silica substrates,Structural and thermoelectric properties of  thin films on  (100) and fused silica substrates,A Venimadhav S Guo,45,86.67%,86.67%
Temperature-dependent Hall and photoluminescence evidence for conduction-band edge shift induced by alloying ZnO with magnesium,Temperature-dependent Hall and photoluminescence evidence for conduction-band edge shift induced by alloying ZnO with magnesium,XH Pan W Guo,13,100.00%,100.00%
"Optical properties of antimony-doped p-type ZnO films fabricated by pulsed laser deposition,",Optical properties of antimony-doped -type ZnO films fabricated by pulsed laser deposition,XH Pan W Guo,29,83.33%,83.33%
Microstructure and transport properties of ZnO:Mn diluted magnetic semiconductor thin films,Microstructure and transport properties of ZnO: Mn diluted magnetic semiconductor thin films,Z Yang,19,90.91%,83.33%
Microstructure and electrical properties of p-type phosphorus-doped ZnO ﬁlms,Microstructure and electrical properties of p-type phosphorus-doped ZnO films,W Guo YB Chen,29,88.89%,88.89%
Violet luminescence in phosphorus-doped ZnO epitaxial films,Violet luminescence in phosphorus-doped ZnO epitaxial films,XQ Pan,28,100.00%,100.00%
Critical thickness of high structural quality SrTiO3 films grown on orthorhombic (101) DyScO3,Critical thickness of high structural quality  films grown on orthorhombic (101) ,MD Biegalski JA Eastman,52,84.62%,91.67%
ZnO epitaxy on (111) Si using epitaxial Lu2O3 buffer layers,ZnO epitaxy on (111) Si using epitaxial  buffer layers,W Guo XQ Pan,39,90.00%,90.00%
egative thermal expansion and electrical properties of Mn3(Cu0.6NbxGe0.4−x)N (x=0.05–0.25) compounds,Negative thermal expansion and electrical properties of Mn 3 (Cu 0.6 Nb x Ge 0.4− x) N (x= 0.05–0.25) compounds,XQ Pan,24,70.00%,35.00%
Optical band gap of BiFeO3 grown by molecular-beam epitaxy,Optical band gap of  grown by molecular-beam epitaxy,JF Ihlefeld ZK Liu RC Rai X Xu,234,88.89%,88.89%
Strain-Induced Polarization Rotation in Epitaxial (001) BiFeO3 Thin Films,Strain-Induced Polarization Rotation in Epitaxial (001)  Thin Films,HW Jang SH Baek RR Das,181,88.89%,88.89%
Growth of ZnO nanoparticles and nanorods with ultrafast pulsed laser deposition,Growth of ZnO nanoparticles and nanorods with ultrafast pulsed laser deposition,K Sun X Pan,18,100.00%,100.00%
Electrical and optical properties of phosphorus-doped p-type ZnO films grown by metalorganic chemical vapor deposition,Electrical and optical properties of phosphorus-doped -type ZnO films grown by metalorganic chemical vapor deposition,XH Pan YJ Zeng,59,93.33%,93.33%
Influence of symmetry mismatch on heteroepitaxial growth of perovskite thin films,Influence of symmetry mismatch on heteroepitaxial growth of perovskite thin films,HW Jang S Lee CT Nelson,27,100.00%,100.00%
A Thin Film Approach to Engineering Functionality into Oxides,A thin film approach to engineering functionality into oxides,DG Schlom LQ Chen X Pan,306,33.33%,33.33%
Electron carrier concentration dependent magnetization and transport properties in ZnO:Co diluted magnetic semiconductor thin films,Electron carrier concentration dependent magnetization and transport properties in ZnO: Co diluted magnetic semiconductor thin films,Z Yang M Biasini,41,93.33%,87.50%
Amphoteric phosphorus doping for stable p-type ZnO,Amphoteric Phosphorus Doping for Stable p‐Type ZnO,W Guo,84,42.86%,42.86%
Synthesis and properties of p-type nitrogen-doped ZnO thin films by pulsed laser ablation of a Zn-rich Zn3N2 target,Synthesis and properties of p-type nitrogen-doped ZnO thin films by pulsed laser ablation of a Zn-rich Zn 3 N 2 target,W Guo,16,94.44%,80.95%
Fully transparent thin-film transistor devices based on SnO2 nanowires,Fully transparent thin-film transistor devices based on SnO2 nanowires,EN Dattoli W Guo X Pan W Lu,251,100.00%,100.00%
Effect of alloy composition on dispersion stability and catalytic activity for NO oxidation over alumina-supported Pt–Pd catalysts,Effect of alloy composition on dispersion stability and catalytic activity for NO oxidation over alumina-supported Pt–Pd catalysts,,55,100.00%,100.00%
Microstructure and properties of epitaxial antimony-doped p-type ZnO films fabricated by pulsed laser deposition,Microstructure and properties of epitaxial antimony-doped -type ZnO films fabricated by pulsed laser deposition,W Guo XQ Pan,89,92.86%,92.86%
Adsoption-controlled molecular-beam epitaxial growth of BiFeO3,Adsorption-controlled molecular-beam epitaxial growth of ,JF Ihlefeld A Kumar V Gopalan DG Schlom,70,66.67%,80.00%
Nanoparticle generation in ultrafast pulsed laser ablation of nickel,Nanoparticle generation in ultrafast pulsed laser ablation of nickel,X Pan,98,100.00%,100.00%
Acoustic Bragg mirrors and cavities made using piezoelectric oxides,Acoustic Bragg mirrors and cavities made using piezoelectric oxides,XX Xi,37,100.00%,100.00%
Epitaxial growth and magnetic properties of the first five members of the layered Srn+1RunO3n+1 oxide series,Epitaxial growth and magnetic properties of the first five members of the layered  oxide series,DG Schlom,48,93.75%,93.75%
Preparation of p-type ZnMgO thin films by Sb doping method,Preparation of p-type ZnMgO thin films by Sb doping method,XH Pan YJ Zeng,23,100.00%,100.00%
Review: MgB2 thin films by hybrid physical-chemical vapor deposition,MgB 2 thin films by hybrid physical–chemical vapor deposition,XX Xi,111,66.67%,66.67%
"Microstructure and strain relaxation of epitaxial PrScO3 thin films grown on (001) SrTiO3 substrates,",Microstructure and strain relaxation of epitaxial  thin films grown on (001)  substrates,XQ Pan,9,78.57%,78.57%
"Interface structure and strain relaxation in BaTiO3 thin films grown on GdScO3 and DyScO3 substrates with buried coherent SrRuO3 layer,",Interface structure and strain relaxation in  thin films grown on  and  substrates with buried coherent  layer,HP Sun XQ Pan KJ Choi,25,75.00%,75.00%
Ferroelectric domain structures of epitaxial (001) BiFeO3 thin films,Ferroelectric domain structures of epitaxial (001)  thin films,XQ Pan RR Das,63,88.89%,88.89%
"Interplay between grain boundary grooving, stress, and dealloying in the agglomeration of NiSi1-xGex films","Interplay Between Grain Boundary Grooving, Stress, and Dealloying in the Agglomeration of NiSi1− x Ge x Films",HP Sun XQ Pan,14,35.71%,29.41%
"Morphology, structure, and nucleation of out-of-phase boundaries (OPBs) in epitaxial films of layered oxides","Morphology, structure, and nucleation of out-of-phase boundaries (OPBs) in epitaxial films of layered oxides",XQ Pan,37,100.00%,100.00%
"Liquid-feed flame spray pyrolysis (LF-FSP) as a method of producing mixed-metal oxide nanopowders of potential interest as catalytic materials. Nanopowders along the NiO-Al2O3 tie-line including (NiO)0.22(Al2O3)0.78, a new inverse spinel composition",… a Method of Producing Mixed-Metal Oxide Nanopowders of Potential Interest as Catalytic Materials. Nanopowders along the NiO− Al2O3 Tie Line Including (NiO) 0.22 …,JA Azurdia P Shea,63,22.58%,30.43%
Synthesis and ferroelectric properties of epitaxial BiFeO3 thin films grown by sputtering,Synthesis and ferroelectric properties of epitaxial  thin films grown by sputtering,RR Das SH Baek,224,91.67%,91.67%
Single domain strain relaxed PrScO3 template on miscut substrates,Single domain strain relaxed  template on miscut substrates,RR Das YB Chen,18,88.89%,88.89%
Nano-a-Al2O3 by liquid-feed flame spray pyrolysis,Nano-α-Al2O3 by liquid-feed flame spray pyrolysis,RM Laine HP Sun XQ Pan,69,83.33%,83.33%
Ferromagnetism in inhomogeneous Zn1-xCoxO thin films,Ferromagnetism in inhomogeneous  thin films,Y Wu,46,83.33%,83.33%
Probing nanoscale ferroelectricity by ultraviolet Raman spectroscopy,Probing nanoscale ferroelectricity by ultraviolet Raman spectroscopy,A Bruchhausen ND Lanzillotti-Kimura,247,100.00%,100.00%
Structural evidence for enhanced polarization in a commensurate short-period BaTiO3 / SrTiO3 superlattice,Structural evidence for enhanced polarization in a commensurate short-period  superlattice,XQ Pan,81,76.92%,90.91%
High-performance transparent conducting oxide nanowires,High-performance transparent conducting oxide nanowires,EN Dattoli W Guo X Pan,178,100.00%,100.00%
"Structure, optical, and magnetic properties of sputtered manganese and nitrogen-codoped ZnO films","Structure, optical, and magnetic properties of sputtered manganese and nitrogen-codoped  films",MH Lu,84,91.67%,91.67%
Substitution-induced phase transition and enhanced multiferroic properties of Bi1-xLaxFeO3 ceramics,Substitution-induced phase transition and enhanced multiferroic properties of  ceramics,MH Lu,457,90.00%,90.00%
A New Y3al5o12 Phase Produced By Liquid-Feed Flame Spray Pyrolysis (Lf-Fsp),A new Y3Al5O12 phase produced by liquid‐feed flame spray pyrolysis (LF‐FSP),RM Laine XQ Pan,73,9.09%,9.09%
Size and shape evolution of embedded single-crystal -Fe nanowires,Size and shape evolution of embedded single-crystal -Fe nanowires,,14,100.00%,100.00%
NiGe by reactive deposition epitaxy: an in-situ UHV-TEM study,NiGe on Ge (001) by reactive deposition epitaxy: An in situ ultrahigh-vacuum transmission-electron microscopy study,CB Boothroyd,20,66.67%,40.00%
Epitaxial magnetic perovskite nanostructures,Epitaxial magnetic perovskite nanostructures,Y Seo,31,100.00%,100.00%
Formation and evolution of epitaxial Co5Ge7 film on Ge (001) surface by solid state reaction in an in situ ultrahigh-vacuum transmission electron microscope,Formation and evolution of epitaxial Co 5 Ge 7 film on Ge (001) surface by solid-state reaction in an in situ ultrahigh-vacuum transmission electron microscope,HP Sun XQ Pan,21,91.30%,80.00%
Formation And Evolution Of Epitaxial Co5ge7 On Ge(001) Surface By Reactive Deposition Inside An Ultrahigh-Vacuum Transmission Electron Microscope,Formation and evolution of epitaxial  on  surface by reactive deposition inside an ultrahigh-vacuum transmission electron microscope,HP Sun XQ Pan,28,5.56%,5.56%
Partial Encapsulation of Pd Particles by Reduced Ceria-Zirconia,Partial encapsulation of Pd particles by reduced ceria-zirconia,HP Sun,27,50.00%,50.00%
Hexagonal Close-Packed Ni Nanostructures Grown On The (001) Surface Of Mgo,Hexagonal close-packed Ni nanostructures grown on the (001) surface of MgO,HP Sun XQ Pan,70,27.27%,27.27%
Structural and transport properties of epitaxial NaxCoO2 thin films,Structural and transport properties of epitaxial  thin films,A Venimadhav,14,88.89%,88.89%
Ordered arrays of highly oriented single-crystal semiconductor nanoparticles on silicon substrates,Ordered arrays of highly oriented single-crystal semiconductor nanoparticles on silicon substrates,Y Lei WK Chim J Weissmüller G Wilde,23,100.00%,100.00%
Enhancement Of Ferroelectricity In Strained BaTiO3 Thin Films,Enhancement of ferroelectricity in strained BaTiO3 thin films,KJ Choi M Biegalski,1216,25.00%,25.00%
Epitaxial Growth And Properties Of Metastable Bimno3 Thin Films,Epitaxial growth and properties of metastable  thin films,AK Cheetham,99,11.11%,11.11%
Coarsening Of Pt Particles In A Model Nox Trap,Coarsening of Pt particles in a model NOx trap,HP Sun XQ Pan,62,22.22%,22.22%
Very High Upper Critical Fields In Mgb2 Produced By Selective Tuning Of Impurity Scattering,Very high upper critical fields in MgB2 produced by selective tuning of impurity scattering,A Gurevich S Patnaik KH Kim,289,7.14%,7.14%
Direct Observation Of Nucleation Of Discommensurations In Barium Sodium Niobate,Direct observation of nucleation of discommensurations in barium sodium niobate,,10,10.00%,10.00%
"Highly diastereoselective aminobromination of -methyl--nitrostyrenes with t-butyl N,N-dibromocarbamate/t-butyl carbamate as bromine/nitrogen sources",The chromous chloride promoted addition of N-chlorocarbamates to enol ethers the synthesis of N-alkoxycarbonyl derivatives of 2-amino sugars and of α-amino …,,58,33.33%,4.76%
"K2CO3/Ni(OAc)2 catalyzed aminobromination of β-methyl-β-nitrostyrenes with benzamide/ N,N-dibromobenzamide as nitrogen/bromine sources","[CITATION][C] K2CO3/Ni (OAc)(2) Catalyzed Aminobromination of beta-Methyl-beta-nitrostyrenes with Benzamide/N, N-Dibromobenzamide as Nitrogen/Bromine Source",,0,27.27%,23.08%
"Design, synthesis and applications of new chiral N-2-phenyl-2-propyl sulfinylimines for Group-Assisted Purification (GAP) asymmetric synthesis","Design, synthesis, and applications of chiral N-2-phenyl-2-propyl sulfinyl imines for group-assisted purification (GAP) asymmetric synthesis",,18,66.67%,73.33%
"N,N-Dibromobenzenesulfonamide and N,N-Dibromo-p-toluenesulfonamide","Unexpected multiple electrophilic addition reaction of (Z)-alk-2-en-4-ynoates with N, N-dibromo-p-toluenesulfonamide (TsNBr2): A highly diastereoselective synthesis …",,16,0.00%,0.00%
"N,N-dichloro-4-methylbenzenesulfonamide [DICHLORAMINE T]",Copper‐Catalyzed Ritter‐Type Reaction of Unactivated Alkenes with Dichloramine‐T,H Takeda,19,0.00%,0.00%
