line,title,author,cited_num,relate,reverse_relate
Molecular crowding induces telomere G-quadruplex formation under salt-deficient conditions and enhances its competition with duplex formation,Molecular crowding induces telomere G‐quadruplex formation under salt‐deficient conditions and enhances its competition with duplex formation,Z Kan,81,87.50%,87.50%
The folding and unfolding kinetics of the i-motif structure formed by the C-rich strand of human telomere DNA,The Folding and Unfolding Kinetics of the i‐Motif Structure Formed by the C‐Rich Strand of Human Telomere DNA,Y Zhao Z Kan Z Tan,20,44.44%,44.44%
Tetraplex formation of surface-immobilized human telomere sequence probed by surface plasmon resonance using single-stranded DNA binding protein,Tetraplex formation of surface‐immobilized human telomere sequence probed by surface plasmon resonance using single‐stranded DNA binding protein,Y Zhao Z Tan,17,88.24%,88.24%
Fragmentation and rapid shortening of telomere in HeLa cells in the early phase of hydroxyl radical-induced apoptosis,Fragmentation and rapid shortening of telomere in HeLa cells in the early phase of hydroxyl radical-induced apoptosis,Q Li Z Tan,4,100.00%,100.00%
Epigallocatechin gallate induces telomere fragmentation in HeLa and 293 but not in MRC-5 cells,Epigallocatechin gallate induces telomere fragmentation in HeLa and 293 but not in MRC-5 cells,Z Tan,21,100.00%,100.00%
Detection of telomere damage as a result of strand breaks in telomeric and subtelomeric DNA,Detection of telomere damage as a result of strand breaks in telomeric and subtelomeric DNA,Z Tan,4,100.00%,100.00%
Alpha-ketoglutarate inhibits glutamine degradation and enhances protein synthesis in intestinal porcine epithelial cells,Alpha-ketoglutarate inhibits glutamine degradation and enhances protein synthesis in intestinal porcine epithelial cells,X Li J Wang G Wu,105,100.00%,100.00%
"Molecular cloning, tissue distribution and ontogenetic expression of Xiang pig Chemerin and its involvement in regulating energy metabolism through Akt and ERK1/2 signaling pathways","Molecular cloning, tissue distribution and ontogenetic expression of Xiang pig chemerin and its involvement in regulating energy metabolism through Akt and ERK1/2 …",,17,83.33%,90.91%
Comparison of serum metabolite compositions between obese and lean growing pigs,Comparison of serum metabolite compositions between obese and lean growing pigs using an NMR-based metabonomic approach,G Wu,82,100.00%,68.75%
Regulatory roles for L-arginine in reducing white adipose tissue,Regulatory roles for L-arginine in reducing white adipose tissue,,58,100.00%,100.00%
Arginine stimulates the mTOR signaling pathway and protein synthesis in porcine trophectoderm cells,L-Arginine stimulates the mTOR signaling pathway and protein synthesis in porcine trophectoderm cells,X Li,91,92.31%,92.31%
"Effects of dietary L-arginineor N-carbamylglutamate supplementation during late gestation of sows on the miR-15b/16, miR-221/222,VEGFAandeNOSexpression in umbilicalvein","Effects of dietary L-arginine or N-carbamylglutamate supplementation during late gestation of sows on the miR-15b/16, miR-221/222, VEGFA and eNOS …",,105,76.47%,68.42%
Effect of dietary arginine supplementation on reproductive performance of mice with porcine circovirus type 2 (PCV2) infection,Effect of dietary arginine supplementation on reproductive performance of mice with porcine circovirus type 2 infection,G Liu G Wu,82,94.12%,100.00%
"Effect of dietary arginine and N-carbamoylglutamate supplementation reproduction and gene  expression of eNOS, VEGFA and PlGF1 in on in late pregnancy of sows placenta","Effect of dietary arginine and N-carbamoylglutamate supplementation on reproduction and gene expression of eNOS, VEGFA and PlGF1 in placenta in late pregnancy …",ZQ Liu,44,84.00%,100.00%
"Impacts of Birth Weight on Plasma, Liver and Skeletal Muscle Neutral Amino Acid Profiles and Intestinal Amino Acid Transporters in Suckling Huanjiang Mini-Piglets","Impacts of birth weight on plasma, liver and skeletal muscle neutral amino acid profiles and intestinal amino acid transporters in suckling Huanjiang mini …",,18,30.43%,30.43%
Chemerin regulates proliferation and differentiation of myoblast cells via ERK1/2 and mTOR signaling pathways,Chemerin regulates proliferation and differentiation of myoblast cells via ERK1/2 and mTOR signaling pathways,H Yang,40,100.00%,100.00%
Preventive oral supplementation with glutamine and arginine has beneficial effects on the intestinal mucosa and inflammatory cytokines in endotoxemic rats,Preventive oral supplementation with glutamine and arginine has beneficial effects on the intestinal mucosa and inflammatory cytokines in endotoxemic rats,X Zhou,24,100.00%,100.00%
"Soy isoflavones modulate adipokines and myokines to regulate lipid metabolism  in adipose tissue, skeletal muscle and liver of male Huanjiang mini-pigs","Soy isoflavones modulate adipokines and myokines to regulate lipid metabolism in adipose tissue, skeletal muscle and liver of male Huanjiang mini-pigs",,32,95.45%,100.00%
Dynamic changes in blood flow and oxygen consumption in the portal-drained viscera of growing pigs receiving acute administration of L-arginine,Dynamic changes in blood flow and oxygen consumption in the portal-drained viscera of growing pigs receiving acute administration of L-arginine,G Wu,29,100.00%,100.00%
Roles of heat-shock protein 70 in protecting against intestinal mucosal damage,Genetic evidence for a protective role for heat shock factor 1 and heat shock protein 70 against colitis,,126,27.27%,16.67%
Effects of oral supplementation with glutamate or combination of glutamate and N-carbamylglutamate on intestinal mucosa in piglets,Effects of oral supplementation with glutamate or combination of glutamate and N-carbamylglutamate on intestinal mucosa morphology and epithelium cell …,,32,94.12%,78.95%
Dietary L-arginine supplementation differentially regulates expression of fat-metabolic genes in porcine adipose tissue and skeletal muscle,Dietary L-arginine supplementation differentially regulates expression of lipid-metabolic genes in porcine adipose tissue and skeletal muscle,,123,93.75%,93.75%
Apical Na+-D-glucose co-transporter 1 (SGLT1) activity and protein abundance are expressed along the jejunal crypt-villus axis in the neonatal pig,Apical Na+-D-glucose cotransporter 1 (SGLT1) activity and protein abundance are expressed along the jejunal crypt-villus axis in the neonatal pig,,29,95.00%,95.00%
Tryptophan metabolism in animals: important roles in nutrition and health,Tryptophan metabolism in animals: important roles in nutrition and health,,44,100.00%,100.00%
Roles of phytochemicals in amino acid nutrition,Roles of phytochemicals in amino acid nutrition,G Wu,18,100.00%,100.00%
Metabonomics and its role in amino acid nutrition research,Metabolomics in human nutrition: opportunities and challenges,MJ Gibney L Brennan,372,22.22%,28.57%
Dietary L-arginine supplementation enhances intestinal development and expression of vascular endothelial growth factor in weanling piglets,Dietary L-arginine supplementation enhances intestinal development and expression of vascular endothelial growth factor in weanling piglets,G Wu,53,100.00%,100.00%
Reduced expression of intestinal N-acetylglutamate synthase in suckling piglets: a novel molecular mechanism for arginine as a nutritionally essential amino acid for neonates,Reduced expression of intestinal N-acetylglutamate synthase in suckling piglets: a novel molecular mechanism for arginine as a nutritionally essential amino acid for …,,51,91.30%,100.00%
Leucine nutrition in animals and humans: mTOR signaling 3 and beyond,Leucine nutrition in animals and humans: mTOR signaling and beyond,G Wu,130,90.91%,100.00%
Digestion rate of dietary starch affects the systemic circulation of lipid profiles and lipid metabolism-related gene expression in weaned pigs,Digestion rate of dietary starch affects the systemic circulation of lipid profiles and lipid metabolism-related gene expression in weaned pigs,,16,100.00%,100.00%
Dietary Supplementation with L -Arginine Partially Counteracts Serum Metabonome Induced by Weaning Stress in Piglets,Dietary supplementation with l-arginine partially counteracts serum metabonome induced by weaning stress in piglets,H Tang G Wu,46,26.67%,28.57%
Myostatin regulates preadipocyte differentiation and lipid metabolism of adipocyte via ERK1/2,Myostatin regulates preadipocyte differentiation and lipid metabolism of adipocyte via ERK1/2,,27,100.00%,100.00%
Regulation of soy isoflavones on weight gain and fat percentage: evaluation in a Chinese Guangxi minipig model,Regulation of soy isoflavones on weight gain and fat percentage: evaluation in a Chinese Guangxi minipig model,B Zhang,18,100.00%,100.00%
"Dietary amylose and amylopectin ratio and resistant starch content affects plasma glucose, lactic acid, hormone levels1and protein synthesis in splanchnic tissues","Dietary amylose and amylopectin ratio and resistant starch content affects plasma glucose, lactic acid, hormone levels and protein synthesis in splanchnic tissues",,44,100.00%,90.91%
Up-regulated expression of peroxisome proliferator-activated receptor γ in the hypothalamic–pituitary–adrenal axis of weaned pigs after Escherichia coli lipopolysaccharide challenge,Up-regulated expression of peroxisome proliferator-activated receptor γ in the hypothalamic–pituitary–adrenal axis of weaned pigs after Escherichia coli …,,8,84.21%,94.12%
Epidermal Growth Factor-Expressing Lactococcus lactis Enhances Intestinal Development of Early-Weaned Pigs,Epidermal growth factor-expressing Lactococcus lactis enhances intestinal development of early-weaned pigs,J Gong,45,36.36%,36.36%
Digestion rate of dietary starch affects systemic circulation of amino acids in weaned pigs,Digestion rate of dietary starch affects systemic circulation of amino acids in weaned pigs,,76,100.00%,100.00%
L-Arginine stimulates proliferation and prevents endotoxin-induced death of intestinal cells,L-Arginine stimulates proliferation and prevents endotoxin-induced death of intestinal cells,X Li,140,100.00%,100.00%
Amino acid metabolism in the portal-drained viscera of young pigs: effects of dietary supplementation with chitosan and pea hull,Amino acid metabolism in the portal-drained viscera of young pigs: effects of dietary supplementation with chitosan and pea hull,,43,100.00%,100.00%
Supplementing L-leucine to a low-protein diet increases tissue  protein synthesis in weanling  pigs,Supplementing L-leucine to a low-protein diet increases tissue protein synthesis in weanling pigs,Z Liu,125,86.67%,100.00%
Dietary a-ketoglutarate supplementation ameliorates intestinal injury in lipopolysaccharide-challenged piglets,Dietary α-ketoglutarate supplementation ameliorates intestinal injury in lipopolysaccharide-challenged piglets,,71,88.89%,88.89%
Physicochemical properties and in vitro starch digestibility of cooked rice from commercially available cultivars in Canada,Physicochemical properties and in vitro starch digestibility of cooked rice from commercially available cultivars in Canada,,27,100.00%,100.00%
"Dietary protein, energy and arginine affect LAT1 expression in forebrain white matter differently","Dietary protein, energy and arginine affect LAT1 expression in forebrain white matter differently",,12,100.00%,100.00%
"Manipulation of dietary nitrogen, amino acids and phosphorus to reduce environmental impact of swine production and enhance animal health","Manipulation of dietary nitrogen, amino acids and phosphorus to reduce environmental impact of swine production and enhance animal health",,20,100.00%,100.00%
"High-level expression, purification and antibacterial activity of bovine lactoferricin and lactoferrampin in Photorhabdus luminescens","High-level expression, purification and antibacterial activity of bovine lactoferricin and lactoferrampin in Photorhabdus luminescens",Y Zhang AF Stewart,15,100.00%,100.00%
Involvement of ERK1/2 signalling and growth related molecules’ expression in response to heat stress induced damage in rat jejunum and IEC cells,Involvement of ERK1/2 signalling and growth-related molecules' expression in response to heat stress-induced damage in rat jejunum and IEC-6 cells,,28,72.73%,80.00%
Dietary L-arginine supplementation increases muscle gain and reduces body fat mass in growing-finishing pigs,Dietary L-arginine supplementation increases muscle gain and reduces body fat mass in growing-finishing pigs,,228,100.00%,100.00%
Impaired translation initiation activation and reduced protein synthesis in  weaned piglets fed a low-protein diet,Impaired translation initiation activation and reduced protein synthesis in weaned piglets fed a low-protein diet,,73,93.75%,100.00%
Dietary L-arginine supplementation enhances the immune status in early-weaned piglets,Dietary L-arginine supplementation enhances the immune status in early-weaned piglets,,117,100.00%,100.00%
Dietary supplementation with Astragalus polysaccharide enhances  ileal digestibilities and serum concentrations of amino acids in early weaned piglets,Dietary supplementation with Astragalus polysaccharide enhances ileal digestibilities and serum concentrations of amino acids in early weaned piglets,,74,94.74%,100.00%
"Activation of peroxisome proliferator-activated receptor-gamma potentiates pro-inflammatory cytokine production, and adrenal and somatotropic changes of weaned pigs after Escherichia coli lipopolysaccharide challenge","Activation of peroxisome proliferator-activated receptor-γ potentiates pro-inflammatory cytokine production, and adrenal and somatotropic changes of weaned pigs …",,19,68.18%,88.24%
"The effect of dietary addition of a polysaccharide from atractylodes macrophala koidz on growth performance, immunoglobulin concentration and IL-1βexpression in weaned pigs","The effect of dietary addition of a polysaccharide from Atractylodes macrophala Koidz on growth performance, immunoglobulin concentration and IL-1β expression in …",MZ Fan,13,72.73%,76.19%
Dietary supplementation with Acanthopanax senticosus extract enhances gut health in weanling piglets,Dietary supplementation with Acanthopanax senticosus extract enhances gut health in weanling piglets,,35,100.00%,100.00%
"Molecular cloning, distribution and ontogenetic expression  of the oligopeptide transporter PepT1 mRNA in Tibetan suckling piglets","Molecular cloning, distribution and ontogenetic expression of the oligopeptide transporter PepT1 mRNA in Tibetan suckling piglets",,36,94.12%,100.00%
Acanthopanax senticosus extract as a dietary additive enhances the apparent  ileal digestibility of amino acids in weaned piglets,Acanthopanax senticosus extract as a dietary additive enhances the apparent ileal digestibility of amino acids in weaned piglets,,30,94.74%,100.00%
"Molecular cloning, tissue distribution and ontogenetic expression of the amino acid transporter b0,+ cDNA in the small intestine of Tibetan suckling piglets","Molecular cloning, tissue distribution and ontogenetic expression of the amino acid transporter b 0,+ cDNA in the small intestine of Tibetan suckling piglets",,30,95.45%,91.30%
Efficient transfer of two large secondary metabolite pathway gene clusters into heterologous hosts by transposition,Efficient transfer of two large secondary metabolite pathway gene clusters into heterologous hosts by transposition,J Fu,85,100.00%,100.00%
Regulation of ornithine aminotransferase gene expression and activity by all-transretinoic acid in Caco-2 intestinal epithelial cells,Regulation of ornithine aminotransferase gene expression and activity by all-transretinoic acid in Caco-2 intestinal epithelial cells,G Wu,26,100.00%,100.00%
Dietary Arginine Supplementation Increases mTOR Signaling Activity in Skeletal Muscle of Neonatal Pigs,Dietary arginine supplementation increases mTOR signaling activity in skeletal muscle of neonatal pigs,,276,30.77%,30.77%
Gene Expression is Altered in Piglet Small Intestine by Weaning and Dietary Glutamine Supplementation,Gene expression is altered in piglet small intestine by weaning and dietary glutamine supplementation,J Wang X Li,256,35.71%,35.71%
Dietary arginine supplementation during early pregnancy enhances embryonic survival in rates,Dietary arginine supplementation during early pregnancy enhances embryonic survival in rats,F Wang,109,90.91%,90.91%
"Intrauterine Growth Restriction Affects the Proteomes of the Small Intestine, Liver, and Skeletal Muscle in Newborn Pigs","Intrauterine growth restriction affects the proteomes of the small intestine, liver, and skeletal muscle in newborn pigs",J Wang X Wang,171,35.29%,35.29%
Dietary arginine supplementation alleviates intestinal mucosal disruption induced by Escherichia coli lipopolysaccharide in weaned pigs,Dietary arginine supplementation alleviates intestinal mucosal disruption induced by Escherichia coli lipopolysaccharide in weaned pigs,,150,100.00%,100.00%
L-arginine supplementation alleviates immunosuppression induced by cyclophosphamide in weaned pigs,Dietary L-arginine supplementation alleviates immunosuppression induced by cyclophosphamide in weaned pigs,,42,100.00%,90.91%
Dietary supplementation with Chinese herbal powder enhances  ileal digestibilities and serum concentrations of amino acids  in young pigs,Dietary supplementation with Chinese herbal powder enhances ileal digestibilities and serum concentrations of amino acids in young pigs,,60,90.00%,100.00%
Evaluating standardized ileal digestibility of amino acids in growing pigs,Evaluating standardized ileal digestibility of amino acids in growing pigs,,25,100.00%,100.00%
Nutrient digestibility response to graded dietary levels of sodium chloride in weanling pigs,Nutrient digestibility response to graded dietary levels of sodium chloride in weanling pigs,,5,100.00%,100.00%
Dietary starch sources affect net portal appearance of amino acids and glucose in growing pigs,Dietary starch sources affect net portal appearance of amino acids and glucose in growing pigs,,38,100.00%,100.00%
Rice protein concentrate partially replaces dried whey in the diet for early-weaned piglets and improves their growth performance,Rice protein concentrate partially replaces dried whey in the diet for early‐weaned piglets and improves their growth performance,,17,94.44%,94.44%
Effect of replacement of lactose with partially hydrolysed rice syrup on small intestine development in weaned pigs from 7  to 21days,Effect of replacement of lactose with partially hydrolysed rice syrup on small intestine development in weaned pigs from 7 to 21 days,,7,90.91%,90.91%
Code acquisition of ZCZ-CDMA systems based on complete complementary codes，WIRELESS COMMUNICATIONS AND MOBILE COMPUTING Wirel,Code acquisition of ZCZ‐CDMA systems based on complete complementary codes,X Guo J Chen,3,53.33%,80.00%
A Novel Wide-dynamic-range Logarithmic-response Bipolar Junction Photogate Transistor for CMOS imagers,A novel wide-dynamic-range logarithmic-response bipolar junction photogate transistor for CMOS imagers,,1,36.36%,36.36%
Numerical Simulation and Analysis of Bipolar Junction Photogate Transistor for CMOS Image Sensor,[CITATION][C] Numerical Simulation and Analysis of Bipolar Junction Photogate Transistor for CMOS Image Sensor,,2,100.00%,92.86%
Principle and Analysis of Gate-Induced Noise in Pixel MOSFET of CMOS Imagers,[CITATION][C] Principle and analysis of novel gate-induced noise in pixel MOSFET of CMOS imagers,,4,58.33%,50.00%
Pixel Cross-talk Considerations for CMOS Image Sensor Based on Technology Scaling,Technology and device scaling considerations for CMOS imagers,HS Wong,352,27.27%,37.50%
Analytical Transient Model of Photocurrent Characteristics for Bipolar Junction Photogate Transistor Used by CMOS Imagers,Vision chips,,296,0.00%,0.00%
Numerical Simulation and Analysis of Photo-charge Transfer Characteristics of Bipolar Junction Photogate Transistor for CMOS Imagers,A novel wide-dynamic-range logarithmic-response bipolar junction photogate transistor for CMOS imagers,,1,12.50%,18.18%
Analysis of Bipolar Junction Photogate Transistor for CMOS Image Sensor Based on Behavioral Modeling Methodology,Review of CMOS image sensors,J Salvi,426,13.33%,40.00%
Numerical simulation and analysis of voltage controlling N+-N-P+ model for BJMOSFET’s DC characteristics,Numerical simulation and analysis of voltage controlling N/sup+/-NP/sup+/model for BJMOSFET's DC characteristics,,0,76.92%,83.33%
Sensitivity and photodectector considerations for CMOS imager sensor,[CITATION][C] Sensitivity and Photodetector Considerations for CMOS imager Sensor,,4,62.50%,55.56%
High-Speed Low-Power Complex Matched Filter for W-CDMA: Algorithm and VLSI-Architecture,High-speed low-power complex matched filter for W-CDMA: Algorithm and VLSI-architecture,J Chen,16,40.00%,40.00%
"Digital-Controlled Analog Circuits for Weighted-Sum Operations: Architecture, Implementation and Applications","Digital-controlled analog circuits for weighted-sum operations: Architecture, implementation and applications",J Chen,19,30.00%,30.00%
Lossy to Lossless Compression of ECG by Using Integer Wavelet Transform,Lossy-to-lossless compression of medical volumetric data using three-dimensional integer wavelet transforms,Z Xiong X Wu,177,9.09%,9.09%
The Error Estimation of Sampling in Wavelet Subspaces,The error estimation of sampling in wavelet subspaces,W Chen J Chen,1,37.50%,37.50%
A Wavelet Transform Based ECG Compression Method Guaranteeing Desired Signal Quality,A wavelet transform-based ECG compression method guaranteeing desired signal quality,J Chen,132,18.18%,20.00%
Scalar Quantization Noise Analysis and Optimal Bit Allocation for Wavelet Pyramid Image Coding System,Scalar quantization noise analysis and optimal bit allocation for wavelet pyramid image coding,,20,21.43%,23.08%
Wavelet Pyramid Image Coding with Predictable and Controllable Subjective Picture Quality,Wavelet pyramid image coding with predictable and controllable subjective picture quality,,7,27.27%,27.27%
ECG Data Compression Using Wavelet Transform,ECG data compression using wavelet transform,A Datar,3,16.67%,16.67%
Blue (RGB) and Bright White Upconversion Luminescence of Lu2O3:Yb3+/Er3+/Tm3+ Nanocrystals via Single Laser Excitation of 980 nm,[CITATION][C] and Bright White Upconversion Luminescence of Lu2O3: Yb3+/Er3+/Tm3+ Nanocrystals through Single Laser Excitation at 980 nm Yang,,10,70.59%,72.22%
Luminescence functionalization of mesoporous silica with different morphologies and applications as drug delivery systems,Luminescence functionalization of mesoporous silica with different morphologies and applications as drug delivery systems,J Lin,141,100.00%,100.00%
A Facile Synthesis and Characterization of Monodisperse and Spherical Pigment Particles with Core-Shell Structure,A facile synthesis and characterization of monodisperse spherical pigment particles with a core/shell structure,C Lin Y Li J Lin,69,28.57%,35.71%
"A Facile Synthesis and Photoluminescent Properties of Redispersible CeF3, CeF3:Tb3+ and CeF3:Tb3+/LaF3(Core/Shell) Nanoparticles","A facile synthesis and photoluminescent properties of redispersible CeF3, CeF3: Tb3+, and CeF3: Tb3+/LaF3 (core/shell) nanoparticles",CK Lin,310,38.46%,31.25%
Silica Spheres Coated with YVO4:Eu3+ Layers via Sol-Gel Process: A Simple Method to Obtain Spherical Core-Shell Phosphors,Silica Spheres Coated with YVO4: Eu3+ Layers via sol− gel process: a simple method to obtain spherical core− shell phosphors,J Lin,462,41.18%,35.00%
"High efficiency, linearly polarized, directly diode-pumped Er:YAG laser at 1617 nm","High efficiency, linearly polarized, directly diode-pumped Er: YAG laser at 1617 nm",,2,90.91%,83.33%
Injection seeded single-frequency pulsed Nd:YAG laser resonated by an intracavity phase modulator,Injection seeded single-frequency pulsed Nd: YAG laser resonated by an intracavity phase modulator,,5,91.67%,84.62%
"In-band pumped polarized, narrow-linewidth Er:YAG laser at 1645 nm.","In-band pumped polarized, narrow-linewidth Er: YAG laser at 1645 nm",,3,77.78%,70.00%
Narrowband optical parametric amplifier for efficient conversion of high-energy pulse with high beam quality,Narrowband optical parametric amplifier for efficient conversion of high-energy pulse with high beam quality,,8,100.00%,100.00%
Transmission characteristics of photonic crystal fiber gas cell used in frequency stabilized laser,Transmission characteristics of photonic crystal fiber gas cell used in frequency stabilized laser,C Huang,8,100.00%,100.00%
High speed pseudorandom modulation fiber laser ranging system,High speed pseudorandom modulation fiber laser ranging system,W Chen,9,100.00%,100.00%
All fiber pulsed coherent lidar development for wind profiles measurements in boundary layers,All fiber pulsed coherent lidar development for wind profiles measurements in boundary layers,,17,100.00%,100.00%
Eye-safe single-frequency single-mode polarized all-fiber pulsed laser with peak power of 361 W.,Eye-safe single-frequency single-mode polarized all-fiber pulsed laser with peak power of 361 W,Y Liu,8,92.31%,92.31%
Single-frequency polarized eye-safe all-fiber laser with peak power over kilowatt,Single-frequency polarized eye-safe all-fiber laser with peak power over kilowatt,Y Liu,14,100.00%,100.00%
High-energy nanosecond all-fiber Yb-doped amplifier,High-energy nanosecond all-fiber Yb-doped amplifier,S Du,10,100.00%,100.00%
Monte Carlo simulation of laser pulse after underwater propagation,Monte Carlo simulation of laser pulse after underwater propagation,,0,100.00%,100.00%
Semiconductor saturable-absorber mirror passively Q-switched Yb:YAG microchip laser,Semiconductor saturable-absorber mirror passively Q-switched Yb: YAG microchip laser,,8,87.50%,77.78%
Laser-diode-pumped zigzag slab Nd:YAG master oscillator power amplifier,Laser-diode-pumped zigzag slab Nd: YAG master oscillator power amplifier,,12,87.50%,77.78%
Performance of an actively Q-switched Er3+:Yb3+:YVO4 laser,Performance of an actively Q-switched Er3+: Yb3+: YVO4 laser,L Zhu,9,85.71%,66.67%
A highly efficient 57 pm Tm-doped fiber laser with two multimode fiber Bragg gratings,A highly efficient 57? pm Tm-doped fiber laser with two multimode fiber Bragg gratings,MM Tao,2,92.86%,92.86%
Single-frequency Q-switched double-pulse Nd:YAG laser,Single-frequency Q-switched double-pulse Nd: YAG laser,F Li,4,80.00%,66.67%
Highly efficient single longitudinal mode-pulsed green laser (Chinese Title: Highly efficient single longitudinal mode-pulsed green laser),Highly efficient single longitudinal mode-pulsed green laser (Chinese Title: Highly efficient single longitudinal mode-pulsed green laser),,0,100.00%,100.00%
Polarization-locked VCSEL with PM fiber pigtail for quantum communication,Polarization-locked VCSEL with PM fiber pigtail for quantum communication,,4,100.00%,100.00%
Single-frequency high-energy Yb-doped pulsed all-fiber laser,Single-frequency high-energy Yb-doped pulsed all-fiber laser,,14,100.00%,100.00%
Efficient all-solid-state mid-infrared optical parametric oscillator based on resonantly pumped 1.645 μm Er:YAG laser.,Efficient all-solid-state mid-infrared optical parametric oscillator based on resonantly pumped 1.645 μm Er: YAG laser,L Zhu,22,85.71%,80.00%
Single-frequency pulsed laser source with hybrid MOPA configuration.,Single-frequency pulsed laser source with hybrid MOPA configuration,,7,87.50%,87.50%
Spectroscopic characterization and diode-pumped 910 nm laser of Nd:LiLuF4 crystal,Spectroscopic characterization and diode-pumped 910 nm laser of Nd: LiLuF 4 crystal,,4,90.00%,75.00%
Tm:YLF laser-pumped periodically poled MgO-doped congruent LiNbO3 crystal optical parametric oscillators.,Tm: YLF laser-pumped periodically poled MgO-doped congruent LiNbO 3 crystal optical parametric oscillators,,11,72.73%,61.54%
"Crystal growth, spectroscopic characterization and laser operation of Tm3+ and Ho3+ codoped LiLuF4 crystal","Crystal growth, spectroscopic characterization and laser operation of Tm 3+ and Ho 3+ codoped LiLuF 4 crystal",,5,78.57%,64.71%
Development of all-solid coherent Doppler wind lidar,Development of all-solid coherent Doppler wind lidar,,28,100.00%,100.00%
Efficient 1645 nm continuous-wave and Q-switched Er:YAG laser pumped by 1532 nm narrow-band laser diode.,Efficient 1645 nm continuous-wave and Q‑switched Er: YAG laser pumped by 1532 nm narrow-band laser diode,L Zhu,25,80.00%,75.00%
Equivalent optical model for lenslike gain medium in continuously single-end-pumped solid-state laser.,Equivalent optical model for lenslike gain medium in continuously single-end-pumped solid-state laser,L Zhu,1,91.67%,91.67%
"Diode-side-pumped AO Q-switched Tm,Ho:LuLF laser","Diode-side-pumped AO Q-switched Tm, Ho: LuLF laser",,11,80.00%,57.14%
"Eye-safe, single-frequency pulsed all-fiber laser for Doppler wind lidar","Eye-safe, single-frequency pulsed all-fiber laser for Doppler wind lidar",,43,100.00%,100.00%
Experimental study on minimum resolvable velocity for heterodyne laser Doppler vibrometry,Experimental study on minimum resolvable velocity for heterodyne laser Doppler vibrometry,,16,100.00%,100.00%
Conductively cooled 1-kHz single-frequency Nd:YAG laser for remote sensing,Conductively cooled 1-kHz single-frequency Nd: YAG laser for remote sensing,,29,88.89%,80.00%
Efficient 1645 nm Er:YAG laser pumped by 1532nm diode laser with narrow band,Efficient 1645 nm Er: YAG laser pumped by 1532nm diode laser with narrow band,L Zhu J Zhou,0,92.31%,85.71%
International Symposium on Photoelectronic Detection and Imaging 2011: Laser Sensing and Imaging; and Biological and Medical Applications of Photonics Sensing and Imaging,[CITATION][C] Lidar systems for precision navigation and safe landing on planetary bodies,,42,9.09%,50.00%
High repetition rate Tm:Ho:LuLiF master-oscillator and Tm-doped fiber power-amplifier system,High repetition rate Tm: Ho: LuLiF master-oscillator and Tm-doped fiber power-amplifier system,,6,90.00%,75.00%
"Crystal growth, spectroscopic characterization, and continuous wave laser operation of Nd3+-doped LiLuF4 crystal","Crystal growth, spectroscopic characterization, and continuous wave laser operation of Nd3+-doped LiLuF4 crystal",,11,100.00%,100.00%
An incoherent Doppler lidar for ground-based atmospheric wind profiling,An incoherent Doppler lidar for ground-based atmospheric wind profiling,,66,100.00%,100.00%
