line,title,author,cited_num,relate,reverse_relate
Acts as a Scaffold for a Multiprotein Complex that Mediates JNK Activation in Apoptotic Death,POSH acts as a scaffold for a multiprotein complex that mediates JNK activation in apoptosis,LA Greene,180,46.67%,46.67%
The MLK family mediates c-Jun N-terminal kinase activation in neuronal apoptosis,The MLK family mediates c-Jun N-terminal kinase activation in neuronal apoptosis,,255,100.00%,100.00%
a semisynthetic inhibitor of the mixed lineage kinase family,"Cep-1347 (KT7515), a semisynthetic inhibitor of the mixed lineage kinase family",,191,100.00%,81.82%
beta-Amyloid-induced neuronal apoptosis requires c-Jun N-terminal kinase activation,β‐Amyloid‐induced neuronal apoptosis requires c‐Jun N‐terminal kinase activation,,253,62.50%,62.50%
The SFP1 gene product of S. cerevisiae regulates G2/M transitions in the mitotic cell cycle and in response to DNA damage,The SFP1 gene product of Saccharomyces cerevisiae regulates G2/M transitions during the mitotic cell cycle and DNA-damage response,,42,52.94%,50.00%
Electron spin dynamics of ferromagnetic Ga1-xMnxAs across the insulator-to-metal transition,Electron spin dynamics of ferromagnetic Ga1− x Mn x As across the insulator-to-metal transition,C Zhao H Wang J Zhao,2,90.00%,64.29%
Electron spin dynamics study of bulk p-GaAs: The screening effect,Electron spin dynamics study of bulk p-GaAs: The screening effect,C Zhao T Yan,7,100.00%,100.00%
Cyclotron resonance and intersubband transitions in symmetric InSb/AlInSb quantum wells with a perpendicular magnetic field,Cyclotron resonance and intersubband transitions in symmetric InSb/AlInSb quantum wells with a perpendicular magnetic field,,1,100.00%,100.00%
Non-thermal excitation and control of magnetization in Fe/GaAs film by ultrafast laser pulses,Non-thermal excitation and control of magnetization in Fe/GaAs film by ultrafast laser pulses,Y Gong JH Zhao,3,100.00%,100.00%
Temperature and Electron Density Dependence of Spin Relaxation in GaAs/AlGaAs Quantum Well,Temperature and electron density dependence of spin relaxation in GaAs/AlGaAs quantum well,P Tan,13,41.67%,41.67%
The refractive nonlinearities of InAs/GaAs quantum dots above-bandgap energy,The refractive nonlinearities of InAs/GaAs quantum dots above-bandgap energy,,4,100.00%,100.00%
he Effect of an Electric Field on the Nonlinear Response of InAs/GaAs Quantum Dots,The effect of an electric field on the nonlinear response of InAs/GaAs quantum dots,X Huang,2,42.86%,42.86%
"Electron Spin Dynamics in Heavily Mn-Doped (Ga,Mn)As","Electron spin dynamics in heavily Mn-doped (Ga, Mn) As",L Chen J Zhao,5,28.57%,22.22%
"Spin relaxation and dephasing mechanism in (Ga,Mn)As studied by time-resolved Kerr rotation","Spin relaxation and dephasing mechanism in (Ga, Mn) As studied by time-resolved Kerr rotation",L Chen,16,91.67%,78.57%
"Ultrafast dynamics of four-state magnetization reversal in (Ga,Mn)As","Ultrafast dynamics of four-state magnetization reversal in (Ga, Mn) As",,15,87.50%,70.00%
Photoluminescence Study of InSb/In1-xAlxSb Quantum Wells,Zero-field spin splitting and spin lifetime in  asymmetric quantum well heterostructures,,30,0.00%,0.00%
Structure-dependent vibrational lifetimes of hydrogen in silicon,Structure-dependent vibrational lifetimes of hydrogen in silicon,B Sun,57,100.00%,100.00%
Observation of strongly damped GHz phonon-porlariton oscillations in La0.67Ca0.33MnO3,Observation of strongly damped GHz phonon-polariton oscillations in ,,27,77.78%,87.50%
Second-harmonic generation from (Si5Ge5)100 superlattices with an applied external electric field,Second-harmonic generation from  superlattices with an applied external electric field,,4,90.91%,90.91%
Enhancement of bulklike second-order nonlinear susceptibility in SiGe/Si step wells and biasing-field controlled (Si5Ge5)100 superlattices,Enhancement of bulklike second-order nonlinear susceptibility in SiGe/Si step wells and biasing-field controlled  superlattices,,13,93.33%,93.33%
Data Quality Monitoring Framework for the BESIII Experiment,A software framework for Data Quality Monitoring in ATLAS,,17,50.00%,44.44%
Quantum Efficiency Measurement of CsI Photocatodes using Synchrotron Radiation at BSRF,Quantum efficiency measurement of CsI photocathodes using synchrotron radiation at BSRF,H Liu A Zhang,7,54.55%,54.55%
Discrete contribution to psi’ -> J/psi +2 gamma,Combining weak and strong cluster lensing: applications to simulations and MS 2137,J Merten M Meneghetti,98,12.50%,8.33%
Study of the THGEM detector with a reflective CsI photocathode,Study of the THGEM detector with a reflective CsI photocathode,,9,100.00%,100.00%
The performance of thinner-THGEM,The performance of thinner-THGEM,HB Liu,14,100.00%,100.00%
DJpsiFDC: An event generator for the process gg ->J/psi J/psi at LHC,DJpsiFDC: an event generator for the process gg→ J/ψJ/ψ at the LHC,,4,75.00%,66.67%
EtabFDC: An ηb event generator in hadroproduction at LHC,EtabFDC: An ηb event generator in hadroproduction at LHC,,0,100.00%,100.00%
A simulation study on the measurement of D0D0bar mixing parameter y at BESIII,Model-independent {D^ 0}-{{\overline {D}}^ 0} mixing and CP violation studies with {D^ 0}\to K_ {\mathrm {S}}^ 0 {\pi^{+}}{\pi^{-}} and {D^ 0}\to K_ {\mathrm {S}}^ 0 {K …,C Thomas,15,7.69%,3.85%
Measurement of the mixing rate with partial Reconstruction,A study of B0→ D∗+ ℓ− vandB0B0 mixing using partial D∗+ reconstruction,T Hamacher,174,37.50%,25.00%
A detailed Monte Carlo simulation for the Belle TOF system,A detailed Monte Carlo simulation for the Belle TOF system,DW Kim,21,100.00%,100.00%
The BELLE TOF System,The Belle TOF system,,103,50.00%,50.00%
Measurement of the mass and full width of the eta_c Meson,Search for quasi bound η mesons,,24,0.00%,0.00%
Performance test of a double-layer TOF scintillation counter,Performance test of a double-layer TOF scintillation counter,Y Zheng J Li,2,100.00%,100.00%
Decadal variability of twentieth century El Nino and La Nina occurrence from observations and IPCC AR4 coupled models,Decadal variability of twentieth‐century El Niño and La Niña occurrence from observations and IPCC AR4 coupled models,X Wang,49,77.78%,82.35%
Linkage between mei-yu precipitation and North Atlantic SST on the decadal timescale,Linkage between mei-yu precipitation and North Atlantic SST on the decadal timescale,,39,100.00%,100.00%
Anthropogenic climate change revealed by coral gray values in the South China Sea,Anthropogenic climate change revealed by coral gray values in the South China Sea,X Wang,10,100.00%,100.00%
Teleconnected influence of North Atlantic sea surface temperature on the El Nino onset,Teleconnected influence of North Atlantic sea surface temperature on the El Niño onset,X Wang C Wang,46,92.31%,92.31%
Zonal asymmetry of the annular mode and its downstream subtropical jet: an idealized model study,Zonal asymmetry of the annular mode and its downstream subtropical jet: an idealized model study,,4,100.00%,100.00%
Interdecadal modulation of the influence of La Nina events on mei-yu rainfall over the Yangtze River Valley,Interdecadal modulation of the influence of La Niña events on mei-yu rainfall over the Yangtze River Valley,X Wang,34,94.12%,94.12%
El Nino Modoki and the summer precipitation variability over South Korea: A diagnostic study,El Nino Modoki and the summer precipitation variability over South Korea: a diagnostic study,JS Kim X Wang S Jain,14,92.86%,92.86%
Effects of the East Asian summer monsoon on tropical cyclones genesis over the South China Sea on an interdecadal timescales,Effects of the East Asian summer monsoon on tropical cyclone genesis over the South China Sea on an interdecadal time scale,X Wang,24,90.00%,85.71%
Classifying El Nino Modoki I and II by Different Impacts on Rainfall in Southern China and Typhoon Tracks,Classifying El Niño Modoki I and II by different impacts on rainfall in southern China and typhoon tracks,C Wang X Wang,81,61.11%,61.11%
The impacts of the summer Asian Jet Stream biases on surface air temperature in mid-eastern China in IPCC AR4 Models,The impacts of the summer Asian Jet Stream biases on surface air temperature in mid‐eastern China in IPCC AR4 models,X Wang,10,90.00%,90.00%
Summer high temperature extremes in Southeast China associated with the East Asian jet stream and circumglobal teleconnection,Summer high temperature extremes in Southeast China associated with the East Asian jet stream and circumglobal teleconnection,W Wang X Wang,20,100.00%,100.00%
Remote Influence of North Atlantic SST on the Equatorial Westerly Wind Anomalies in the Western Pacific for Initiating an El Nino Event: An Atmospheri,Remote influence of North Atlantic SST on the equatorial westerly wind anomalies in the western Pacific for initiating an El Nino event: an Atmospheric …,X Wang C Wang L Liu,9,62.50%,58.33%
General Circulation Model Study,A general circulation model study of January climate anomaly patterns associated with interannual variation of equatorial Pacific sea surface temperatures,,288,0.00%,0.00%
Insecticidal evaluation of Beauveria bassiana engineered to express a scorpion neurotoxin and a cuticle degrading protease,Insecticidal evaluation of Beauveria bassiana engineered to express a scorpion neurotoxin and a cuticle degrading protease,M Pava-Ripoll C Wang,67,100.00%,100.00%
"Associated links among mtDNA glycation, oxidative stress and colony sectorization in Metarhizium anisopliae","Associated links among mtDNA glycation, oxidative stress and colony sectorization in Metarhizium anisopliae",L Li RJS Leger C Wang,26,100.00%,100.00%
The MOS1 osmosensor of Metarhizium anisopliae is required for adaptation to insect host hemolymph,MOS1 osmosensor of Metarhizium anisopliae is required for adaptation to insect host hemolymph,C Wang RJS Leger,76,92.86%,100.00%
"Increased pathogenicity against coffee berry borer, Hypothenemus hampei (Coleoptera: Curculionidae) by Metarhizium anisopliae expressing the scorpion toxin (AaIT) gene","Increased pathogenicity against coffee berry borer, Hypothenemus hampei (Coleoptera: Curculionidae) by Metarhizium anisopliae expressing the scorpion toxin (AaIT …",M Pava-Ripoll FJ Posada B Momen C Wang,70,89.47%,94.44%
Differentially expressed genes in resistant and susceptible Bombyx mori strains infected with a densonucleosis virus,Differentially expressed genes in resistant and susceptible Bombyx mori strains infected with a densonucleosis virus,CS Wang,32,100.00%,100.00%
A scorpion neurotoxin increases the potency of a fungal insecticide,A scorpion neurotoxin increases the potency of a fungal insecticide,C Wang RJ St Leger,163,100.00%,100.00%
"The Metarhizium anisopliae perilipin homolog MPL1 regulates lipid metabolism, appressorial turgor pressure and virulence","The Metarhizium anisopliae perilipin homolog MPL1 regulates lipid metabolism, appressorial turgor pressure, and virulence",C Wang RJS Leger,133,92.86%,92.86%
"The MAD1 adhesin of Metarhizium anisopliae links adhesion with blastospore production and virulence to insects, and the MAD2 adhesin enables attachment to plants","The MAD1 adhesin of Metarhizium anisopliae links adhesion with blastospore production and virulence to insects, and the MAD2 adhesin enables attachment to …",C Wang RJ St Leger,196,91.30%,100.00%
Dual Detection of Fungal Infections in Drosophila via Recognition of Glucans and Sensing of Virulence Factors,Dual detection of fungal infections in Drosophila via recognition of glucans and sensing of virulence factors,,300,50.00%,50.00%
A collagenous protective coat enables Metarhizium anisopliae to evade insect immune responses,A collagenous protective coat enables Metarhizium anisopliae to evade insect immune responses,C Wang RJS Leger,184,100.00%,100.00%
Phylogenetic and exon-intron structure analysis of fungal subtilisins: support for a mixed model of intron evolution,Phylogenetic and Exon–Intron Structure Analysis of Fungal Subtilisins: Support for a Mixed Model of Intron Evolution,C Wang TM Butt,5,37.50%,37.50%
Differential gene expression by Metarhizium anisopliae growing in root exudate and host (Manduca sexta) cuticle or hemolymph reveals mechanisms of physiological adaptation,Differential gene expression by Metarhizium anisopliae growing in root exudate and host (Manduca sexta) cuticle or hemolymph reveals mechanisms of physiological …,C Wang RJS Leger,148,90.91%,95.24%
Developmental and transcriptional responses to host and non host cuticles by the specific locust pathogen Metarhizium anisopliae var,Developmental and transcriptional responses to host and nonhost cuticles by the specific locust pathogen Metarhizium anisopliae var. acridum,C Wang RJS Leger,136,83.33%,88.89%
olony sectorization of Metarhizium anisopliae is a sign of ageing,Colony sectorization of Metarhizium anisopliae is a sign of ageing,C Wang TM Butt RJ St Leger,63,90.00%,90.00%
Nutrition influences growth and virulence of the insect-pathogenic fungus Metarhizium anisopliae,Nutrition influences growth and virulence of the insect-pathogenic fungus Metarhizium anisopliae,CS Wang TM Butt,158,100.00%,100.00%
Molecular monitoring and evaluation of the application of the insect-pathogenic fungus Beauveria bassiana in southeast China,Molecular monitoring and evaluation of the application of the insect‐pathogenic fungus Beauveria bassiana in southeast China,C Wang TM Butt,58,93.75%,93.75%
Investigation on the destruxin production of the entomopathogenic fungus Metarhizium anisopliae.,Investigations on the destruxin production of the entomopathogenic fungus Metarhizium anisopliae,C Wang TM Butt,86,81.82%,81.82%
Mass spectrometric studies on the intrinsic stability of destruxin E from Metarhizium anisopliae,Mass spectrometric studies on the intrinsic stability of destruxin E from Metarhizium anisopliae,C Wang,11,100.00%,100.00%
"Molecular investigation on genetic relatedness and population structure of the entomopathogenic fungus, Beauveria bassiana",Molecular investigation on strain genetic relatedness and population structure of Beauveria bassiana,C Wang,66,78.57%,91.67%
Nuclear large subunit rDNA group I intron distribution in a population of Beauveria bassiana strains: phylogenetic implications,Nuclear large subunit rDNA group I intron distribution in a population of Beauveria bassiana strains: phylogenetic implications,C Wang TM Butt,44,100.00%,100.00%
Concurrence of losing a chromosome and the ability to produce destruxins in a mutant of Metarhizium anisopliae,Concurrence of losing a chromosome and the ability to produce destruxins in a mutant of Metarhizium anisopliae,C Wang TM Butt,62,100.00%,100.00%
Detection and characterisation of pr1 gene deficiencies in the insect pathogenic fungus Metarhizium anisopliae,Detection and characterisation of pr1 virulent gene deficiencies in the insect pathogenic fungus Metarhizium anisopliae,C Wang TM Butt,83,100.00%,93.33%
Teleconnected influence of North Atlantic sea surface temperature on the El Nino onset,Teleconnected influence of North Atlantic sea surface temperature on the El Niño onset,X Wang C Wang,46,92.31%,92.31%
Zonal asymmetry of the annular mode and its downstream subtropical jet: an idealized model study,Zonal asymmetry of the annular mode and its downstream subtropical jet: an idealized model study,,4,100.00%,100.00%
Interdecadal modulation of the influence of La Nina events on mei-yu rainfall over the Yangtze River Valley,Interdecadal modulation of the influence of La Niña events on mei-yu rainfall over the Yangtze River Valley,X Wang,34,94.12%,94.12%
El Nino Modoki and the summer precipitation variability over South Korea: A diagnostic study,El Nino Modoki and the summer precipitation variability over South Korea: a diagnostic study,JS Kim X Wang S Jain,14,92.86%,92.86%
Effects of the East Asian summer monsoon on tropical cyclones genesis over the South China Sea on an interdecadal timescales,Effects of the East Asian summer monsoon on tropical cyclone genesis over the South China Sea on an interdecadal time scale,X Wang,24,90.00%,85.71%
Classifying El Nino Modoki I and II by Different Impacts on Rainfall in Southern China and Typhoon Tracks,Classifying El Niño Modoki I and II by different impacts on rainfall in southern China and typhoon tracks,C Wang X Wang,81,61.11%,61.11%
The impacts of the summer Asian Jet Stream biases on surface air temperature in mid-eastern China in IPCC AR4 Models,The impacts of the summer Asian Jet Stream biases on surface air temperature in mid‐eastern China in IPCC AR4 models,X Wang,10,90.00%,90.00%
Summer high temperature extremes in Southeast China associated with the East Asian jet stream and circumglobal teleconnection,Summer high temperature extremes in Southeast China associated with the East Asian jet stream and circumglobal teleconnection,W Wang X Wang,20,100.00%,100.00%
Remote Influence of North Atlantic SST on the Equatorial Westerly Wind Anomalies in the Western Pacific for Initiating an El Nino Event: An Atmospheri,Remote influence of North Atlantic SST on the equatorial westerly wind anomalies in the western Pacific for initiating an El Nino event: an Atmospheric …,X Wang C Wang L Liu,9,62.50%,58.33%
General Circulation Model Study,A general circulation model study of January climate anomaly patterns associated with interannual variation of equatorial Pacific sea surface temperatures,,288,0.00%,0.00%
Insecticidal evaluation of Beauveria bassiana engineered to express a scorpion neurotoxin and a cuticle degrading protease,Insecticidal evaluation of Beauveria bassiana engineered to express a scorpion neurotoxin and a cuticle degrading protease,M Pava-Ripoll C Wang,67,100.00%,100.00%
"Associated links among mtDNA glycation, oxidative stress and colony sectorization in Metarhizium anisopliae","Associated links among mtDNA glycation, oxidative stress and colony sectorization in Metarhizium anisopliae",L Li RJS Leger C Wang,26,100.00%,100.00%
The MOS1 osmosensor of Metarhizium anisopliae is required for adaptation to insect host hemolymph,MOS1 osmosensor of Metarhizium anisopliae is required for adaptation to insect host hemolymph,C Wang RJS Leger,76,92.86%,100.00%
"Increased pathogenicity against coffee berry borer, Hypothenemus hampei (Coleoptera: Curculionidae) by Metarhizium anisopliae expressing the scorpion toxin (AaIT) gene","Increased pathogenicity against coffee berry borer, Hypothenemus hampei (Coleoptera: Curculionidae) by Metarhizium anisopliae expressing the scorpion toxin (AaIT …",M Pava-Ripoll FJ Posada B Momen C Wang,70,89.47%,94.44%
Differentially expressed genes in resistant and susceptible Bombyx mori strains infected with a densonucleosis virus,Differentially expressed genes in resistant and susceptible Bombyx mori strains infected with a densonucleosis virus,CS Wang,32,100.00%,100.00%
A scorpion neurotoxin increases the potency of a fungal insecticide,A scorpion neurotoxin increases the potency of a fungal insecticide,C Wang RJ St Leger,163,100.00%,100.00%
"The Metarhizium anisopliae perilipin homolog MPL1 regulates lipid metabolism, appressorial turgor pressure and virulence","The Metarhizium anisopliae perilipin homolog MPL1 regulates lipid metabolism, appressorial turgor pressure, and virulence",C Wang RJS Leger,133,92.86%,92.86%
"The MAD1 adhesin of Metarhizium anisopliae links adhesion with blastospore production and virulence to insects, and the MAD2 adhesin enables attachment to plants","The MAD1 adhesin of Metarhizium anisopliae links adhesion with blastospore production and virulence to insects, and the MAD2 adhesin enables attachment to …",C Wang RJ St Leger,196,91.30%,100.00%
Dual Detection of Fungal Infections in Drosophila via Recognition of Glucans and Sensing of Virulence Factors,Dual detection of fungal infections in Drosophila via recognition of glucans and sensing of virulence factors,,300,50.00%,50.00%
A collagenous protective coat enables Metarhizium anisopliae to evade insect immune responses,A collagenous protective coat enables Metarhizium anisopliae to evade insect immune responses,C Wang RJS Leger,184,100.00%,100.00%
Phylogenetic and exon-intron structure analysis of fungal subtilisins: support for a mixed model of intron evolution,Phylogenetic and Exon–Intron Structure Analysis of Fungal Subtilisins: Support for a Mixed Model of Intron Evolution,C Wang TM Butt,5,37.50%,37.50%
Differential gene expression by Metarhizium anisopliae growing in root exudate and host (Manduca sexta) cuticle or hemolymph reveals mechanisms of physiological adaptation,Differential gene expression by Metarhizium anisopliae growing in root exudate and host (Manduca sexta) cuticle or hemolymph reveals mechanisms of physiological …,C Wang RJS Leger,148,90.91%,95.24%
Developmental and transcriptional responses to host and non host cuticles by the specific locust pathogen Metarhizium anisopliae var,Developmental and transcriptional responses to host and nonhost cuticles by the specific locust pathogen Metarhizium anisopliae var. acridum,C Wang RJS Leger,136,83.33%,88.89%
olony sectorization of Metarhizium anisopliae is a sign of ageing,Colony sectorization of Metarhizium anisopliae is a sign of ageing,C Wang TM Butt RJ St Leger,63,90.00%,90.00%
Nutrition influences growth and virulence of the insect-pathogenic fungus Metarhizium anisopliae,Nutrition influences growth and virulence of the insect-pathogenic fungus Metarhizium anisopliae,CS Wang TM Butt,158,100.00%,100.00%
Molecular monitoring and evaluation of the application of the insect-pathogenic fungus Beauveria bassiana in southeast China,Molecular monitoring and evaluation of the application of the insect‐pathogenic fungus Beauveria bassiana in southeast China,C Wang TM Butt,58,93.75%,93.75%
Investigation on the destruxin production of the entomopathogenic fungus Metarhizium anisopliae.,Investigations on the destruxin production of the entomopathogenic fungus Metarhizium anisopliae,C Wang TM Butt,86,81.82%,81.82%
Mass spectrometric studies on the intrinsic stability of destruxin E from Metarhizium anisopliae,Mass spectrometric studies on the intrinsic stability of destruxin E from Metarhizium anisopliae,C Wang,11,100.00%,100.00%
"Molecular investigation on genetic relatedness and population structure of the entomopathogenic fungus, Beauveria bassiana",Molecular investigation on strain genetic relatedness and population structure of Beauveria bassiana,C Wang,66,78.57%,91.67%
