A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,A rat RNA-Seq transcriptomic BodyMap across 11 organs and 4 developmental stages,C Guo,89,100.00%,100.00%
Recent U.S. Advances in Ion-Beam-Driven High Energy Density Physics and Heavy Ion Fusion,Recent US advances in ion-beam-driven high energy density physics and heavy ion fusion,J Coleman,60,23.08%,23.08%
Edge gyrokinetic theory and continuum simulations,Edge gyrokinetic theory and continuum simulations,JA Hittinger K Bodi,60,100.00%,100.00%
Heavy-ion-fusion-science: summary of US progress,Heavy-ion-fusion-science: summary of US progress,,16,100.00%,100.00%
Multspecies Weibel Instability for Intense Charged Particle Beam Propagation Through Background Plasma,Multispecies Weibel instability for intense charged particle beam propagation through neutralizing background plasma,H Qin,8,16.67%,15.38%
Nonlinear ponderomotive force by low frequency waves and nonresonant current drive,Nonlinear ponderomotive force by low frequency waves and nonresonant current drive,NJ Fisch H Qin,19,100.00%,100.00%
Symmetries and Invariants of the Oscillator and Envelope Equation with Time-Dependent Frequency,Symmetries and invariants of the oscillator and envelope equations with time-dependent frequency,H Qin,15,50.00%,50.00%
General Gyrokinetic Equations for Edge Plasma,General gyrokinetic equations for edge plasmas,H Qin,29,33.33%,33.33%
An Exact Magnetic Moment Invariant of Charged Particle Gyromotion,An exact magnetic-moment invariant of charged-particle gyromotion,H Qin,15,22.22%,28.57%
A Short Introduction to General Gyrokinetic Theory,A short introduction to general gyrokinetic theory,H Qin,19,28.57%,28.57%
Anisotropy-driven collective instability in intense charged particle beams,Anisotropy-driven collective instability in intense charged particle beams,H Qin,27,100.00%,100.00%
Drift Compression and Final Focus Options for Heavy Ion Fusion,Drift compression and final focus options for heavy ion fusion,H Qin,15,30.00%,30.00%
Chaotic Particle Trajectories in High-Intensity Finite-Length Charge Bunches,Chaotic particle trajectories in high-intensity finite-length charge bunches,H Qin,2,25.00%,25.00%
Three-Dimensional Simulation Studies of the Temperature Anisotropy Instability  in Intense Charged Particle Beams,Three-dimensional numerical studies of the temperature anisotropy instability in intense charged particle beams,H Qin,9,21.43%,23.08%
The Electromagnetic Darwin Model for Intense Charged Particle Beams,The electromagnetic Darwin model for intense charged particle beams,H Qin,7,33.33%,33.33%
Overview of US heavy-ion fusion progress and plans,Overview of US heavy-ion fusion progress and plans,,16,100.00%,100.00%
"Drift Compression and Final Focus of Intense Heavy Ion Beams with nonperiodic, time-dependent lattice","Drift compression and final focus for intense heavy ion beams with nonperiodic, time-dependent lattice",H Qin,31,42.86%,42.86%
Survey of Collective Instabilities and Beam-Plasma Interactions in Intense Heavy Ion Beams,Collective instabilities and beam-plasma interactions in intense heavy ion beams,H Qin,45,25.00%,30.00%
Pull-back Transformation in Gyrokinetic Theory,Pullback transformations in gyrokinetic theory,H Qin,51,20.00%,20.00%
Wall-Impedance-Driven Collective Instability in Intense Charged Particle Beams,Wall-impedance-driven collective instability in intense charged particle beams,H Qin,6,12.50%,12.50%
Paul Trap Simulator Experiment,Paul trap simulator experiment to model intense-beam propagation in alternating-gradient transport systems,,69,25.00%,8.33%
Integrated Experiments for Heavy Ion Fusion,Integrated experiments for heavy ion fusion,,28,33.33%,33.33%
Analytical Theory and Nonlinear Delta-f Perturbative Simulations of Temperature Anisotropy Instability in Intense Charged Particle Beams,Analytical theory and nonlinear  perturbative simulations of temperature anisotropy instability in intense charged particle beams,H Qin,43,25.00%,25.00%
Alfvén Waves in Gyrokinetic Plasmas,Alfven waves in gyrokinetic plasmas,H Qin,23,20.00%,20.00%
Nonlinear Delta-f Simulations of Collective Effects in Intense Charged Particle Beams,Nonlinear δ f simulations of collective effects in intense charged particle beams,H Qin,24,27.27%,25.00%
Progress in US Heavy Ion Fusion Research,Progress in US Heavy Ion Fusion Research,,2,100.00%,100.00%
Delta-f Simulation Studies of the Ion-Electron Two-Stream Instability in Heavy Ion Fusion Beams,δf simulation studies of the ion–electron two-stream instability in heavy ion fusion beams,H Qin,10,23.08%,23.08%
Truncated Thermal Equilibrium Distribution for Intense Beam Propagation,Truncated thermal equilibrium distribution for intense beam propagation,H Qin,4,25.00%,25.00%
Nonlinear perturbative particle simulation studies of the electron-proton two-stream instability in high intensity proton beams,Nonlinear perturbative particle simulation studies of the electron-proton two-stream instability in high intensity proton beams,H Qin,42,100.00%,100.00%
Study of Drift Compression for Heavy Ion Beams,Study of drift compression for heavy ion beams,H Qin,9,37.50%,37.50%
Nonlinear Delta-f Simulation Studies of Intense Charged Particle Beams with Large Temperature Anisotropy,Anisotropy-driven collective instability in intense charged particle beams,H Qin,27,0.00%,0.00%
Overview of theory and modeling in the heavy ion fusion virtual national laboratory,Overview of theory and modeling in the heavy ion fusion virtual national laboratory,,22,100.00%,100.00%
Kinetic description of intense beam propagation through a periodic focusing field for uniform phase-space density,Kinetic description of intense beam propagation through a periodic focusing field for uniform phase-space density,H Qin SI Tzenov,24,100.00%,100.00%
Nonlinear Delta-f Simulation Studies of Intense Charged Particle Beams with Large Temperature Anisotropy,Anisotropy-driven collective instability in intense charged particle beams,H Qin,27,0.00%,0.00%
Longitudinal Drift compression and Pulse Shaping for High Intensity Beam,Longitudinal drift compression and pulse shaping for high-intensity particle beams,H Qin,17,40.00%,40.00%
Implications of the Electrostatic Approximation in the Beam Frame on the Nonlinear Vlasov-Maxwell Equations for Intense Beam Propagation,Implications of the electrostatic approximation in the beam frame on the nonlinear Vlasov–Maxwell equations for intense beam propagation,H Qin,10,44.44%,44.44%
Guiding-Center Vlasov-Maxwell Description of Intense Beam Propagation Through a Periodic Focusing Field,Guiding-center Vlasov-Maxwell description of intense beam propagation through a periodic focusing field,H Qin,16,25.00%,25.00%
Paul Trap Configuration to Simulate Intense Beam Propagation Over Large Distances Through a Periodic Focusing Quadrupole Field,A Paul trap configuration to simulate intense non-neutral beam propagation over large distances through a periodic focusing quadrupole magnetic field,H Qin,68,17.65%,15.00%
Stabilizing Influence of Axial Momentum Spread on the Two-Stream Instability in Intense Heavy Ion Beams,Stabilizing influence of axial momentum spread on the two-stream instability in intense heavy ion beams,H Qin,4,33.33%,33.33%
3D Multispecies Nonlinear Perturbative Particle Simulations of Collective Processes in Intense Particle Beams for Heavy Ion Fusion,3D multispecies nonlinear perturbative particle simulations of collective processes in intense particle beams for heavy ion fusion,H Qin,13,23.53%,23.53%
Perturbative Electromagnetic (Darwin) Particle Simulation of High Intensity Beams,Nonlinear perturbative electromagnetic (Darwin) particle simulation of high intensity beams,H Qin,5,22.22%,20.00%
Analytical and Nonlinear Perturbative Simulation Studies of the Equilibrium and Stability Properties of Intense Charged Particle Beams for Heavy Ion Fusion,Analytical and nonlinear perturbative simulation studies of the equilibrium and stability properties of intense charged particle beams for heavy ion fusion,H Qin,1,33.33%,33.33%
Effects of Axial Momentum Spread on the Electron-Ion Two-stream Instability in High-intensity Ion Beams,Effects of axial momentum spread on the electron–ion two-stream instability in high-intensity ion beams,H Qin,15,35.71%,35.71%
Gyro-center Gauge Kinetic Theory,Gyrocenter-gauge kinetic theory,H Qin,51,0.00%,0.00%
3D Multispecies Nonlinear Perturbative Particle Simulations of Collective Processes in Intense Particle Beams,3D Multispecies Nonlinear Perturbative Particle Simulations of Collective Processes in Intense Particle Beams,H Qin,0,100.00%,100.00%
3D Nonlinear Perturbative Particle Simulations of Two-Stream Collective Processes in Intense Particle Beams,3D nonlinear perturbative particle simulations of two-stream collective processes in intense particle beams,H Qin,16,23.08%,23.08%
On the Gyrokinetic Equilibrium,On the gyrokinetic equilibrium,H Qin,23,50.00%,50.00%
A Paul Trap Configuration to Simulate Intense Non-Neutral Beam Propagation Over Large Distances Through a Periodic Focusing Quadrupole Magnetic Field,A Paul trap configuration to simulate intense non-neutral beam propagation over large distances through a periodic focusing quadrupole magnetic field,H Qin,68,20.00%,20.00%
Numerical and Theoretical Studies of Turbulence and Transport with EXB Shear Flows,Numerical and Theoretical Studies of Turbulence and Transport with E x B Shear Flows,Z Lin,0,91.67%,78.57%
Single-parameter Characterization of the Thermal Equilibrium Density Profile for Intense Non-neutral Charged Particle Beams,Single-parameter characterization of the thermal equilibrium density profile for intense non-neutral charged particle beams,H Qin,33,28.57%,28.57%
Microwave Polarimetry System in the CDX-U Tokamak,Microwave polarimetry system in the CDX‐U tokamak,YS Hwang Å Fredriksen H Qin,1,42.86%,42.86%
Finite-Order Type Spaces and Applications,Finite-order type spaces and applications,CL Yang,2,20.00%,20.00%
Signaling Product Quality by Price,Signaling product quality by price,,0,40.00%,40.00%
Selecting a Unique Competitive Equilibrium with Default Penalties,Selecting a unique competitive equilibrium with default penalties,M Shubik,7,37.50%,37.50%
Make a Guess: A Robust Mechanism for King Solomon's Dilemma,Make a guess: a robust mechanism for King Solomon's dilemma,CL Yang,12,60.00%,50.00%
Inducing Cooperation by Self-Stipulated Penalties,Inducing Cooperation by Self-Stipulated Penalties.,,2,80.00%,80.00%
Endogenous Transfers in the Prisoner's Dilemma Game: An Experimental Test Of Cooperation And Coordination,Endogenous transfers in the Prisoner's Dilemma game: An experimental test of cooperation and coordination,G Charness GR Fréchette,60,42.86%,42.86%
The Walras Core of an Economy and Its Limit Theorem,The Walras core of an economy and its limit theorem,LS Shapley,10,50.00%,50.00%
Equilibrium Prices When the Sunspot Variable Is Continuous,Equilibrium prices when the sunspot variable is continuous,R Garratt T Keister K Shell,15,25.00%,25.00%
On Market Games When Agents Cannot Be Two Places at Once,On market games when agents cannot be in two places at once,R Garratt,10,18.18%,16.67%
Economic Natural Selection in Cournot and Bertrand Settings,Economic natural selection in Bertrand and Cournot settings,,6,62.50%,62.50%
Bertrand Versus Cournot Revisited,Bertrand versus Cournot revisited,,25,50.00%,50.00%
Endogenous Formation of Cooperation Structures,Endogenous formation of cooperation structures,,107,40.00%,40.00%
The Inner Core of an N-Person Game,The inner core of an n-person game,,22,42.86%,42.86%
A Conjecture of Shapley and Shubik on Competitive Outcomes in the Cores of NTU Market Games,A conjecture of Shapley and Shubik on competitive outcomes in the cores of NTU market games,,20,62.50%,62.50%
The Inner Core and the Strictly Inhibitive Set,The inner core and the strictly inhibitive set,,21,37.50%,37.50%
Acetylation modulates prolactin receptor dimerization,Acetylation modulates prolactin receptor dimerization,,44,100.00%,100.00%
Inhibition of Histone Deacetylase Activity Attenuates Renal Fibroblast Activation and Interstitial Fibrosis in Obstructive Nephropathy,Inhibition of histone deacetylase activity attenuates renal fibroblast activation and interstitial fibrosis in obstructive nephropathy,,137,26.67%,26.67%
Cutting edge: Negative regulation of dendritic cells through acetylation of the nonhistone protein STAT-3,Cutting edge: Negative regulation of dendritic cells through acetylation of the nonhistone protein STAT-3,Y Sun,105,100.00%,100.00%
Acetylation of Nrf2 by p300/CBP augments promoter-specific DNA binding of Nrf2 during the antioxidant response,Acetylation of Nrf2 by p300/CBP augments promoter-specific DNA binding of Nrf2 during the antioxidant response,DD Zhang,185,100.00%,100.00%
Overexpression of pulmonary surfactant protein A like molecules in inflammatory bowel disease tissues,Overexpression of pulmonary surfactant protein A like molecules in inflammatory bowel disease tissues.,,11,92.31%,92.31%
Nonmuscle myosin heavy chain IIA mediates integrin LFA-1 de-adhesion during T lymphocyte migration,Nonmuscle myosin heavy chain IIA mediates integrin LFA-1 de-adhesion during T lymphocyte migration,PW Oakes D Lee,111,100.00%,100.00%
Monodisperse magnetite (Fe3O4) nanoparticles coupled with nuclear localization signal (NLS) peptide for cell nuclear targeting,Monodisperse Magnetite Nanoparticles Coupled with Nuclear Localization Signal Peptide for Cell‐Nucleus Targeting,C Xu J Xie,41,20.00%,25.00%
Au-Fe3O4 dumbbell nanoparticles as dual functional probes,Au–Fe3O4 Dumbbell Nanoparticles as Dual‐Functional Probes,C Xu J Xie D Ho C Wang,411,14.29%,16.67%
STAT5 mediates platelet-activating factor (PAF)-induced NADPH oxidase NOX5- S expression in Barrett’s esophageal adenocarcinoma cells.,STAT5 mediates PAF-induced NADPH oxidase NOX5-S expression in Barrett9s esophageal adenocarcinoma cells,J Wands DG Beer,32,53.33%,66.67%
Acetylation-dependent signal transduction for type I interferon receptor,Acetylation-dependent signal transduction for type I interferon receptor,,157,100.00%,100.00%
STAT3 protein demolition by caspases: cellular and functional analysis,"Stat3 cleavage by caspases impact on full-length Stat3 expression, fragment formation, and transcriptional activity",,38,22.22%,14.29%
Ankyrin repeat and SOCS box 3 (ASB3) mediates ubiquitination and degradation of tumor necrosis factor receptor II.,Ankyrin repeat and SOCS box 3 (ASB3) mediates ubiquitination and degradation of tumor necrosis factor receptor II,,54,94.12%,94.12%
STAT3 dimerization regulated by reversible acetylation of a single lysine residue within STAT3 Cterminal region,Stat3 dimerization regulated by reversible acetylation of a single lysine residue,,624,66.67%,90.91%
A central role of Threonine-p+1loop residue in RTK for constitutive STAT3 phosphorylation in metastastic cancer cells,The RKIP and STAT3 Axis in Cancer Chemotherapy: Opposites Attract,MB Resnick,1,12.50%,30.00%
Antibodies immobilized as arrays to profile protein post-translational modifications in mammalian cells,Antibodies immobilized as arrays to profile protein post-translational modifications in mammalian cells,SS Ivanov,73,100.00%,100.00%
Identification of STAT’s linker-SH2 domain as the SH2 domain origin using two dimensional structural analysis,Identification of the linker-SH2 domain of STAT as the origin of the SH2 domain using two-dimensional structural alignment,J Hua JJ Headd X Fu,29,100.00%,61.11%
Stat1 functions as a cytoplasmic attenuator of Runx2 in the transcriptional program of osteoblast differentiation,Stat1 functions as a cytoplasmic attenuator of Runx2 in the transcriptional program of osteoblast differentiation,S Kim,211,100.00%,100.00%
SHP-2 is a dual-specificity phosphatase to dephosphorylate Stat1 at both tyrosine and serine residues in nuclei,SHP-2 is a dual-specificity phosphatase involved in Stat1 dephosphorylation at both tyrosine and serine residues in nuclei,TR Wu,161,93.75%,82.35%
Identification of both the positive and negative motifs for STAT activation within EGFR cytoplasmic domain,Identification of both positive and negative domains within the epidermal growth factor receptor COOH-terminal region for signal transducer and activator of …,SS Ivanov,128,66.67%,42.86%
Stat1 as a component of TNF alpha receptor 1-TRADD signaling complex to inhibit NF-κB activation,Stat1 as a component of tumor necrosis factor alpha receptor 1-TRADD signaling complex to inhibit NF-κB activation,TR Wu,180,93.33%,82.35%
STAT genes discovered in C.Elegans,RNAi in C. elegans: soaking in the genome sequence,,774,40.00%,11.11%
STAT5 activation is essential for TCR regulation of gene expression in T cells,IL-2 receptor β-dependent STAT5 activation is required for the development of Foxp3+ regulatory T cells,,645,53.85%,46.67%
Identification and characterization of an EGF receptor associated STAT inhibitor,STATs and gene regulation,,3957,10.00%,25.00%
Screening tyrosine kinase inhibitors for selectively inhibition of EGFR in breast cancer cell lines,"… novel, reversible epidermal growth factor receptor/ErbB-2 tyrosine kinase inhibitor, GW2016, on the growth of human normal and tumor-derived cell lines in vitro and …",,676,42.86%,26.09%
Activation of STAT signaling pathway can cause expression of Caspase 1 and apoptosis,Activation of the STAT signaling pathway can cause expression of caspase 1 and apoptosis.,,539,84.62%,78.57%
Cell growth arrest and induction of cyclin-dependent kinase inhibitor p21WAF1/CIP1 mediated by STAT1,Cell growth arrest and induction of cyclin-dependent kinase inhibitor p21WAF1/CIP1 mediated by STAT1,,831,100.00%,100.00%
The stimulatory effects of nickel chloride on DNA replication in HeLa cells and E. coli.,The stimulatory effect of nickel chloride on DNA replication in human HeLa cells and Escherwhw coli,,8,80.00%,75.00%
The effects of divalent nickel (Ni2+) on DNA replication in vitro by DNA polymerase α.,The effect of divalent nickel (Ni2+) on in vitro DNA replication by DNA polymerase α,,10,86.67%,86.67%
A single stranded DNA binding protein isolated from HeLa cells facilitates Ni2+ activation of DNA polymerases in vitro,A Single Stranded DNA Binding Protein Isolated from HeLa Cells Facilitates Ni2+ Activation of DNA Polymerases in vitro,,1,50.00%,50.00%
Optimal operational control for complex industrial processes,Optimal operational control for complex industrial processes,SJ Qin H Wang,28,100.00%,100.00%
Multiblock Concurrent PLS for Decentralized Monitoring of Continuous Annealing Processes,Multiblock concurrent PLS for decentralized monitoring of continuous annealing processes,Q Liu SJ Qin,26,40.00%,40.00%
Supercritical CO< sub> 2</sub> extraction and pre-column derivatization of polysaccharides from< i> Artemisia sphaerocephala</i> Krasch< i>.</i> seeds via gas chromatography,Ultrasonic–microwave synergistic extraction (UMSE) and molecular weight distribution of polysaccharides from Fortunella margarita (Lour.) Swingle,S Miao,14,20.00%,26.67%
Shape similarity comparison of protein CPK models based on improved L 1-medial skeleton,Shape similarity comparison of protein CPK models based on improved L 1-medial skeleton,SW Qin Z Li SP Zhang,1,100.00%,100.00%
Process data analytics in the era of big data,Process data analytics in the era of big data,SJ Qin,71,100.00%,100.00%
"Fractal approach to estimating changes in soil properties following the establishment of< i> Caragana korshinskii</i> shelterbelts in Ningxia, NW China","Fractal approach to estimating changes in soil properties following the establishment of Caragana korshinskii shelterbelts in Ningxia, NW China",YQ Zhang,16,85.00%,89.47%
Convergence analysis for second-order interval Cohen–Grossberg neural networks,Convergence analysis for second-order interval Cohen–Grossberg neural networks,S Qin J Xu,10,100.00%,100.00%
