"""Least squares estimation of regression",[CITATION][C] Econometric models and economic forecasts,RS Pindyck DL Rubinfeld,9621,0.00%,0.00%
"parameters in mixed eﬀects models.""",lme4: Linear mixed-effects models using Eigen and S4,M Maechler S Walker,13419,0.00%,0.00%
"""Bootstrapping sample quantiles based on complex",Bootstrapping sample quantiles based on complex survey data under hot deck imputation,J Shao,14,83.33%,41.67%
"survey data under hot deck imputation. """,Jackknife variance estimation with survey data under hot deck imputation,JNK Rao J Shao,344,71.43%,50.00%
"""Balanced repeated replications for stratiﬁed","Inference from stratified samples: properties of the linearization, jackknife and balanced repeated replication methods",JNK Rao,333,20.00%,7.14%
"multistage survey data under imputation.""",Jackknife variance estimation with survey data under hot deck imputation,JNK Rao J Shao,344,60.00%,30.00%
"""Form tolerance estimation using jackknife methods.",Form tolerance estimation using jackknife methods,J Shao,10,66.67%,66.67%
"""An asymptotic theory for linear model selection (with discussion).",An asymptotic theory for linear model selection,J Shao,540,66.67%,85.71%
"""Prediction bounds for random shelf-lives. Statist.",PREDICTION BOUNDS FOR RANDOM SHELF‐LIVES,,14,0.00%,0.00%
"""Statistical methods for two-sequence, three-period",STATISTICAL METHODS FOR TWO‐SEQUENCE THREE‐PERIOD CROSS‐OVER DESIGNS WITH INCOMPLETE DATA,JUN SHAO,13,0.00%,0.00%
"crossover designs with incomplete data.""",Designs of experiments: statistical principles of research design and analysis,,1294,0.00%,0.00%
Bootstrap for imputed survey data.,Bootstrap for imputed survey data,J Shao,213,80.00%,80.00%
Bootstrap model selection.,Bootstrap model selection,J Shao,268,66.67%,66.67%
"""On balanced half-sample variance estimation in",On balanced half-sample variance estimation in stratified random sampling,JNK Rao J Shao,65,83.33%,55.56%
"stratiﬁed sampling. """,On the two different aspects of the representative method: the method of stratified sampling and the method of purposive selection,,1280,0.00%,0.00%
Resampling methods in sample surveys (with discussions).,Invited discussion paper resampling methods in sample surveys,J Shao,115,57.14%,50.00%
"""Bootstrapping a sample quantile when",Bootstrapping a sample quantile when the density has a jump,J Shao,19,100.00%,40.00%
"the density has a jump. """,Bootstrapping a sample quantile when the density has a jump,J Shao,19,83.33%,40.00%
"""Analysis of missing data for replicate",Statistical analysis with missing data,RJA Little DB Rubin,22654,33.33%,40.00%
"crossover design. """,The case-crossover design: a method for studying transient effects on the risk of acute events,,1625,0.00%,0.00%
Bootstrap sample size in nonregular cases.,Bootstrap sample size in nonregular cases,J Shao,51,83.33%,83.33%
. Statistical inferences in stability analysis.,Statistical inference in stability analysis,J Shao,55,50.00%,60.00%
L-statistics in complex survey problems.,L-statistics in complex survey problems,J Shao,51,80.00%,80.00%
"""Large sample properties of M-estimators in nonlinear models.","Inverse probability weighted M-estimators for sample selection, attrition, and stratification",JM Wooldridge,316,25.00%,20.00%
"""Jackknife inference for heteroscedastic linear",Jackknife inference for heteroscedastic linear regression models,J Shao JNK Rao,45,80.00%,57.14%
"regression models. """,[CITATION][C] Econometric models and economic forecasts,RS Pindyck DL Rubinfeld,9621,0.00%,0.00%
Heteroscedasticity-robustness of jackknife variance estimators in linear models.,Heteroscedasticity-robustness of jackknife variance estimators in linear models,J Shao CFJ Wu,50,87.50%,87.50%
On the longest length of consecutive integers. Acta Math. Sin,On the longest length of consecutive integers,QM Shao,0,60.00%,85.71%
Large deviations for local times and intersection local times of fractional Brownian motions and Riemann-Liouville processes.,Large deviations for local times and intersection local times of fractional Brownian motions and Riemann–Liouville processes,J Rosiński QM Shao,11,87.50%,87.50%
Non-normal approximation by Stein's method of exchangeable pairs with application to the Curie-Weiss model.,NONNORMAL APPROXIMATION BY STEIN'S METHOD OF EXCHANGEABLE PAIRS WITH APPLICATION TO THE CURIE—WEISS MODEL,S Chatterjee QM Shao,60,0.00%,0.00%
Nonparametric estimate of spectral density functions of sample covariance matrices: A first step.,Nonparametric estimate of spectral density functions of sample covariance matrices: A first step,BY Jing QM Shao W Zhou,17,92.31%,92.31%
Bias adjustment in analyzing longitudinal data with informative missingness.,Bias adjustment in analysing longitudinal data with informative missingness,J Shao,20,77.78%,77.78%
A repeated half-sample bootstrap and balanced repeated replications for randomly imputed data.,A repeated half-sample bootstrap and balanced repeated replications for randomly imputed data,J Shao,45,91.67%,91.67%
Efficiency comparison of methods for estimation and prediction in longitudinal regression models.,Smearing estimate: a nonparametric retransformation method,,1941,0.00%,0.00%
Replication methods for variance estimation in complex surveys with imputed data.,[CITATION][C] Replication methods for variance estimation in complex surveys with imputed data,,34,90.91%,83.33%
Drug shelf-life estimation.,Drug shelf-life estimation,J Shao,25,66.67%,66.67%
Two-phase shelf-life estimation.,Two‐phase shelf‐life estimation,J Shao,7,0.00%,0.00%
Jackknife variance estimation for nearest neighbor imputation.,Jackknife variance estimation for nearest-neighbor imputation,J Chen J Shao,115,57.14%,66.67%
A Bayesian decision rule for remediation action at toxic waste sites.,A Bayesian decision rule for remediation actions at toxic waste sites,,3,81.82%,81.82%
Nearest neighbor imputation for survey data.,Nearest neighbor imputation for survey data,J Chen J Shao,215,83.33%,83.33%
Consistency of the bootstrap procedure in individual bioequivalence.,Consistency of the bootstrap procedure in individual bioequivalence,J Shao,24,87.50%,87.50%
Cold deck and ratio imputation.,[CITATION][C] Cold deck and ratio imputation,J Shao,18,80.00%,66.67%
The bootstrap procedure for individual bioequivalence.,The bootstrap procedure in individual bioequivalence,J Shao,27,66.67%,66.67%
The GIC for model selection: A hypothesis testing approach.,The GIC for model selection: a hypothesis testing approach,J Shao,13,77.78%,77.78%
On statistical analysis for placebo-challenging designs in clinical trials,On statistical analysis for placebo‐challenging designs in clinical trials,J Shao,2,88.89%,88.89%
Bioequivalence review for drug interchangeability.,Bioequivalence review for drug interchangeability,J Shao,23,80.00%,80.00%
Reliability analysis using the least squares method in nonlinear mixed-eﬀect degradation models.,Reliability analysis using the least squares method in nonlinear mixed-effect degradation models,J Shao,54,83.33%,83.33%
Approximate balanced half samples and related replication methods for imputed survey data.,Approximate balanced half sample and related replication methods for imputed survey data,J Shao,10,83.33%,83.33%
Modiﬁed balanced repeated replication for complex survey data.,Modified balanced repeated replication for complex survey data,JNK Rao J Shao,81,75.00%,75.00%
Bootstrap minimum cost estimation of the average chemical concentration in contaminated soils.,Bootstrap minimum cost estimation of the average chemical concentration in contaminated soils,J Shao,5,91.67%,91.67%
Variance estimation for imputed survey data with non-negligible sampling fractions.,Variance estimation for survey data with composite imputation and nonnegligible sampling fractions,J Shao,137,70.00%,58.33%
"""Inference with survey data imputed by hot deck",Inference with survey data imputed by hot deck when imputed values are nonidentifiable,J Shao,14,100.00%,53.85%
"when nonrespondents are nonidentiﬁable. """,[CITATION][C] Inference with complex survey data imputed by hot deck when nonrespondents are nonidentifiable,J Shao,4,60.00%,21.43%
Convergence rates of the generalized information criterion.,Convergence rates of the generalized information criterion,J Shao,12,85.71%,85.71%
"""Least squares estimation of regression",[CITATION][C] Econometric models and economic forecasts,RS Pindyck DL Rubinfeld,9621,0.00%,0.00%
"parameters in mixed eﬀects models.""",lme4: Linear mixed-effects models using Eigen and S4,M Maechler S Walker,13419,0.00%,0.00%
"""Bootstrapping sample quantiles based on complex",Bootstrapping sample quantiles based on complex survey data under hot deck imputation,J Shao,14,83.33%,41.67%
"survey data under hot deck imputation. """,Jackknife variance estimation with survey data under hot deck imputation,JNK Rao J Shao,344,71.43%,50.00%
"""Balanced repeated replications for stratiﬁed","Inference from stratified samples: properties of the linearization, jackknife and balanced repeated replication methods",JNK Rao,333,20.00%,7.14%
"multistage survey data under imputation.""",Jackknife variance estimation with survey data under hot deck imputation,JNK Rao J Shao,344,60.00%,30.00%
"""Form tolerance estimation using jackknife methods.",Form tolerance estimation using jackknife methods,J Shao,10,66.67%,66.67%
"""An asymptotic theory for linear model selection (with discussion).",An asymptotic theory for linear model selection,J Shao,540,66.67%,85.71%
"""Prediction bounds for random shelf-lives. Statist.",PREDICTION BOUNDS FOR RANDOM SHELF‐LIVES,,14,0.00%,0.00%
"""Statistical methods for two-sequence, three-period",STATISTICAL METHODS FOR TWO‐SEQUENCE THREE‐PERIOD CROSS‐OVER DESIGNS WITH INCOMPLETE DATA,JUN SHAO,13,0.00%,0.00%
"crossover designs with incomplete data.""",Designs of experiments: statistical principles of research design and analysis,,1294,0.00%,0.00%
Bootstrap for imputed survey data.,Bootstrap for imputed survey data,J Shao,213,80.00%,80.00%
Bootstrap model selection.,Bootstrap model selection,J Shao,268,66.67%,66.67%
"""On balanced half-sample variance estimation in",On balanced half-sample variance estimation in stratified random sampling,JNK Rao J Shao,65,83.33%,55.56%
"stratiﬁed sampling. """,On the two different aspects of the representative method: the method of stratified sampling and the method of purposive selection,,1280,0.00%,0.00%
Resampling methods in sample surveys (with discussions).,Invited discussion paper resampling methods in sample surveys,J Shao,115,57.14%,50.00%
"""Bootstrapping a sample quantile when",Bootstrapping a sample quantile when the density has a jump,J Shao,19,100.00%,40.00%
"the density has a jump. """,Bootstrapping a sample quantile when the density has a jump,J Shao,19,83.33%,40.00%
"""Analysis of missing data for replicate",Statistical analysis with missing data,RJA Little DB Rubin,22654,33.33%,40.00%
"crossover design. """,The case-crossover design: a method for studying transient effects on the risk of acute events,,1625,0.00%,0.00%
Bootstrap sample size in nonregular cases.,Bootstrap sample size in nonregular cases,J Shao,51,83.33%,83.33%
. Statistical inferences in stability analysis.,Statistical inference in stability analysis,J Shao,55,50.00%,60.00%
L-statistics in complex survey problems.,L-statistics in complex survey problems,J Shao,51,80.00%,80.00%
"""Large sample properties of M-estimators in nonlinear models.","Inverse probability weighted M-estimators for sample selection, attrition, and stratification",JM Wooldridge,316,25.00%,20.00%
"""Jackknife inference for heteroscedastic linear",Jackknife inference for heteroscedastic linear regression models,J Shao JNK Rao,45,80.00%,57.14%
"regression models. """,[CITATION][C] Econometric models and economic forecasts,RS Pindyck DL Rubinfeld,9621,0.00%,0.00%
Heteroscedasticity-robustness of jackknife variance estimators in linear models.,Heteroscedasticity-robustness of jackknife variance estimators in linear models,J Shao CFJ Wu,50,87.50%,87.50%
On the longest length of consecutive integers. Acta Math. Sin,On the longest length of consecutive integers,QM Shao,0,60.00%,85.71%
Large deviations for local times and intersection local times of fractional Brownian motions and Riemann-Liouville processes.,Large deviations for local times and intersection local times of fractional Brownian motions and Riemann–Liouville processes,J Rosiński QM Shao,11,87.50%,87.50%
Non-normal approximation by Stein's method of exchangeable pairs with application to the Curie-Weiss model.,NONNORMAL APPROXIMATION BY STEIN'S METHOD OF EXCHANGEABLE PAIRS WITH APPLICATION TO THE CURIE—WEISS MODEL,S Chatterjee QM Shao,60,0.00%,0.00%
Nonparametric estimate of spectral density functions of sample covariance matrices: A first step.,Nonparametric estimate of spectral density functions of sample covariance matrices: A first step,BY Jing QM Shao W Zhou,17,92.31%,92.31%
Cramer-type moderate deviation for the maximum of the periodogram with application to simultaneous tests in gene expression time series.,Cramér-type moderate deviation for the maximum of the periodogram with application to simultaneous tests in gene expression time series,QM Shao,10,89.47%,89.47%
Maximum likelihood inference for the Cox regression model with applications to missing covariates.,Maximum likelihood inference for the Cox regression model with applications to missing covariates,MH Chen JG Ibrahim QM Shao,10,92.31%,92.31%
Asymptotic distributions of non-central studentized statistics.,Asymptotic distributions of non-central studentized statistics,QM Shao,0,83.33%,83.33%
A note on directed polymers in gaussian environments.,A note on directed polymers in gaussian environments,Q SHAO,4,87.50%,87.50%
Berry-Esseen bounds for projections of coordinate symmetric random vectors.,Berry-Esseen Bounds for Projections of Coordinate Symmetric Random Vectors,L Goldstein QM Shao,2,33.33%,33.33%
Cram\'er type large deviations for the maximum of self-normalized sums.,Limit theorems for self-normalized large deviation,Q Wang,23,30.00%,50.00%
The asymptotic distribution and Berry-Esseen bound of a new test for independence in high dimension with an application to stochastic optimization.,The asymptotic distribution and Berry–Esseen bound of a new test for independence in high dimension with an application to stochastic optimization,QM Shao,52,90.48%,90.48%
Limit theorems for permutations of empirical processes.,Limit theorems for permutations of empirical processes with applications to change point analysis,QM Shao,10,85.71%,46.15%
Limiting distributions of the non-central $t$-statistic and their applications to the power of $t$-tests under non-normality.,Limiting distributions of the non-central t-statistic and their applications to the power of t-tests under non-normality,BY Jing QM Shao W Zhou,29,81.25%,81.25%
Normal approximation for nonlinear statistics using a concentration inequality approach,Normal approximation for nonlinear statistics using a concentration inequality approach,QM Shao,46,100.00%,100.00%
A note on the self-normalized large deviation.,A note on the generation of random normal deviates,,3451,57.14%,44.44%
A calibrated scenario generation model for heavy-tailed risk factors.,A calibrated scenario generation model for heavy-tailed risk factors,QM Shao H Wang,3,88.89%,88.89%
Large and moderate deviations for Hotelling's $t^2$-statistic.,Large and moderate deviations for Hotelling's T 2-statistic,QM Shao,17,85.71%,75.00%
The Berry-Esseen bound for character ratios.,The Berry-Esseen bound for character ratios,QM Shao,37,83.33%,83.33%
Posterior propriety and computation for the Cox regression model with applications to missing covariates.,Posterior propriety and computation for the Cox regression model with applications to missing covariates,MH Chen JG Ibrahim QM Shao,25,92.86%,92.86%
On discriminating between long-range dependence and changes in mean.,On discriminating between long-range dependence and changes in mean,QM Shao,133,88.89%,88.89%
Almost sure convergence of the Barlett estimator.,Almost sure convergence of the Bartlett estimator,Q Shao,26,71.43%,71.43%
Saddlepoint approximation for Student's t-statistic with no moment conditions.,Saddlepoint approximation for Student's t-statistic with no moment conditions,BY Jing W Zhou,39,88.89%,88.89%
Recent progress on self-normalized limit theorems.,Recent progress on self-normalized limit theorems,QM Shao,13,83.33%,83.33%
Asymptotic distributions and Berry-Esseen bounds for sums of record values.,Asymptotic Distributions and Berry-Esseen Bounds for Sums of Record Values,QM Shao,0,50.00%,50.00%
On propriety of the posterior distribution and existence of the maximum likelihood estimator for regression models with covariates missing at random.,Propriety of the posterior distribution and existence of the MLE for regression models with covariates missing at random,MH Chen JG Ibrahim QM Shao,26,71.43%,83.33%
Normal approximation under local dependence.,Normal approximation under local dependence,QM Shao,120,80.00%,80.00%
Lower tail probabilities of Gaussian processes.,Lower tail probabilities of Gaussian processes,QM Shao,0,83.33%,83.33%
Self-normalized Cram\'er type large deviations for independent random variables.,Self-normalized Cramér-type large deviations for independent random variables,BY Jing QM Shao Q Wang,125,66.67%,75.00%
A Gaussian correlation inequality and its application to the existence of small ball constant.,A Gaussian correlation inequality and its applications to small ball probabilities,,41,64.29%,81.82%
Prior Elicitation for Model Selection and Estimation in Generalized Linear Mixed Models.,Prior elicitation for model selection and estimation in generalized linear mixed models,MH Chen JG Ibrahim QM Shao RE Weiss,47,33.33%,33.33%
Sufficient and necessary conditions on the propriety of posterior distributions for generalized linear mixed models.,Sufficient and necessary conditions on the propriety of posterior distributions for generalized linear mixed models,,0,93.33%,93.33%
Partition-weighted Monte-Carlo estimation.,Partition-Weighted Monte Carlo Estimation,MH Chen QM Shao,4,0.00%,0.00%
A normal comparison inequality and its applications Probab.,A normal comparison inequality and its applications,QM Shao,83,87.50%,100.00%
Random polynomials having few or no real zeros.,Random polynomials having few or no real zeros,QM Shao O Zeitouni,62,87.50%,87.50%
How big is the uniform convergence interval of the strong law of large numbers?,How big is the uniform convergence interval of the strong law of large numbers?,,0,100.00%,100.00%
Bootstrapping the Student t-statistic.,Bootstrapping the Student t-statistic,DM Mason QM Shao,16,75.00%,75.00%
Do stock returns follow a finite variance distribution?,Do stock returns follow a finite variance distribution?,QM Shao J Yu,7,100.00%,100.00%
Bayesian analysis of binary data using skewed logit models.,Bayesian analysis of binary data using skewed logit models,MH Chen DK Dey QM Shao,7,88.89%,88.89%
Capture time of Brownian pursuits.,Capture time of Brownian pursuits,QM Shao,14,80.00%,80.00%
A non-uniform Berry-Esseen bound via Stein's method.,A non-uniform Berry–Esseen bound via Stein's method,QM Shao,104,71.43%,71.43%
Propriety of posterior distribution for dichotomous quantal response models with general link functions.,Propriety of posterior distribution for dichotomous quantal response models with general link functions,QM Shao MH Chen,3,92.31%,92.31%
Strong laws for $L_p$-norms of empirical and related processes.,Strong Laws for L p-Norms of Empirical and Related Processes,,5,44.44%,40.00%
A note on the Gaussian correlation conjecture.,A note on the Gaussian correlation conjecture,QM Shao,9,85.71%,85.71%
A comparison theorem on moment inequalities between negatively associated and independent random variables.,A comparison theorem on moment inequalities between negatively associated and independent random variables,QM Shao,401,92.31%,92.31%
On parameters of increasing dimensions.,On parameters of increasing dimensions,X He QM Shao,108,80.00%,80.00%
Power prior distributions for generalized linear models..,Power prior distributions for generalized linear models,MH Chen JG Ibrahim QM Shao,65,85.71%,85.71%
On central limit theorems for shrunken random variables.,On central limit theorems for shrunken random variables,QM Shao,2,87.50%,87.50%
Monte Carlo estimation of Bayesian credible and HPD intervals.,Monte Carlo estimation of Bayesian credible and HPD intervals,MH Chen QM Shao,483,88.89%,88.89%
Properties of prior and posterior distributions for multivariate categorical response data models.,Properties of prior and posterior distributions for multivariate categorical response data models,MH Chen QM Shao,26,91.67%,91.67%
A new skewed link model for dichotomous quantal response data.,A new skewed link model for dichotomous quantal response data,MH Chen DK Dey QM Shao,130,90.00%,90.00%
Existence of Bayes Estimators for the polychotomous quantal response models.,Existence of Bayesian estimates for the polychotomous quantal response models,MH Chen QM Shao,6,70.00%,70.00%
Small ball estimates for Gaussian processes under Soblev type norms.,Small ball estimates for Gaussian processes under Sobolev type norms,QM Shao,32,80.00%,80.00%
The law of the iterated logarithm for negatively associated random variables.,The law of the iterated logarithm for negatively associated random variables,QM Shao,152,90.91%,90.91%
A Cram\'er type large deviation result for Student's t-statistic.,A Cramér type large deviation result for Student's t-statistic,QM Shao,76,77.78%,77.78%
Limit theorems for quadratic forms with applications to Whittle's estimate.,Limit theorems for quadratic forms with applications to Whittle's estimate,QM Shao,41,90.00%,90.00%
Self-normalized moderate deviations and LILs.,Self-normalized moderate deviations and lils,QM Shao,11,80.00%,80.00%
Self-normalized large deviations in vector spaces.,Self-normalized large deviations in vector spaces,,19,83.33%,83.33%
Limit distributions of directionally reinforced random walks.,Limit distributions of directionally reinforced random walks,QM Shao,17,85.71%,85.71%
Monte Carlo methods for Bayesian analysis of constrained parameter problems.,Monte Carlo methods for Bayesian analysis of constrained parameter problems,MH Chen QM Shao,35,90.00%,90.00%
Almost sure summability of partial sums.,Maximal inequalities for partial sums of ρ-mixing sequences,QM Shao,129,33.33%,25.00%
Performance study of marginal posterior density estimation via Kullback-Leibler divergence.,Performance study of marginal posterior density estimation via Kullback-Leibler divergence,MH Chen QM Shao,16,90.00%,90.00%
Estimating ratios of normalizing constants for densities with different dimensions.,Estimating ratios of normalizing constants for densities with different dimensions,MH Chen QM Shao,48,90.00%,90.00%
On Monte Carlo methods for estimating ratios of normalizing constants.,On Monte Carlo methods for estimating ratios of normalizing constants,MH Chen QM Shao,121,90.00%,90.00%
Self-normalized large deviations.,Self-normalized large deviations,QM Shao,161,66.67%,66.67%
Darling-Erdos type theorems for sums of Gaussian variables with long range dependence.,Darling-Erdos-type theorems for sums of Gaussian variables with long-range dependence,QM Shao,10,58.33%,70.00%
Bahadur efficiency and robustness of studentized score tests.,Bahadur efficiency and robustness of studentized score tests,X He Q Shao,11,87.50%,87.50%
A Darling-Erdos-type theorem for standardized random walk summation.,A Darling‐Erdös‐Type Theorem for Standardized Random Walk Summation,QM Shao,0,25.00%,25.00%
A note on estimation of the variance for $\rho$-mixing sequences.,Stock market prices do not follow random walks: Evidence from a simple specification test,,4190,0.00%,0.00%
p-Variation of Gaussian processes with stationary increments.,p-variation of Gaussian processes with stationary increments,QM Shao,28,71.43%,71.43%
Bounds and estimators of a basic constant in extreme value theory of Gaussian processes.,Bounds and estimators of a basic constant in extreme value theory of Gaussian processes,QM Shao,50,92.86%,92.86%
Large deviations and law of the iterated logarithm for partial sums normalized by the largest absolute observation.,Large deviations and law of the iterated logarithm for partial sums normalized by the largest absolute observation,QM Shao,6,94.12%,94.12%
Limit theorem for maximum of standardized U-statistics with an application.,Limit theorem for maximum of standardized U-statistics with an application,QM Shao,9,90.00%,90.00%
A general Bahadur representation of M-estimators and its application to linear regression with nonstochastic designs.,A general Bahadur representation of M-estimators and its application to linear regression with nonstochastic designs,X He QM Shao,174,93.33%,93.33%
Moduli of continuity for $\ell^p$-valued Gaussian processes.,Moduli of continuity for l^ P-valued Gaussian processes,QM Shao E Csaki M Csorg,21,71.43%,62.50%
Limit theorems for the maximum of standardized Cesaro and Abel sums.,Limit theorems for the maximum of standardized Cesaro and Abel sums,QM Shao,0,90.91%,90.91%
Limit theorems for the union-intersection test.,Limit theorems for the union-intersection test,QM Shao,18,83.33%,83.33%
Asymptotics for directed random walks in random environments.,Asymptotics for directed random walks in random environments,QM Shao,3,87.50%,87.50%
Small ball probabilities for Gaussian processes with stationary increments under Holder norms.,Small ball probabilities for Gaussian processes with stationary increments under Hölder norms,Q Shao,32,83.33%,83.33%
On a conjecture of R\'ev\'esz .,The maximum of the local time of a transient random walk,,4,50.00%,18.18%
A small deviation theorem for independent random variables.,A small deviation theorem for independent random variables,QM Shao,8,87.50%,87.50%
Moduli of continuity for local time of Gaussian processes.,On moduli of continuity for local time of Gaussian processes,QM Shao M Csorgo,0,77.78%,70.00%
A Chung type law of the iterated logarithm for subsequences of a Wiener process.,A Chung type law of the iterated logarithm for subsequences of a Wiener process,QM Shao,2,92.86%,92.86%
A note on the almost sure central limit theorem for weakly dependent random variables.,A note on the almost sure central limit theorem for weakly dependent random variables,QM Shao,96,92.86%,92.86%
Estimation of the variance of partial sums for $\rho$-mixing random variables.,Estimation of the variance of partial sums for ρ-mixing random variables,QM Shao,31,81.82%,81.82%
Strong approximation theorems for independent random variables and their applications.,Strong approximation theorems for independent random variables and their applications,QM Shao,65,90.00%,90.00%
Maximal inequality for partial sums of $\rho$-mixing sequences.,Almost-sure results for a class of dependent random variables,,142,25.00%,22.22%
Small ball probabilities of Gaussian fields.,Small ball probabilities of Gaussian fields,QM Shao,36,83.33%,83.33%
A note on the law of large numbers for directed random walks in random environments.,A note on the law of large numbers for directed random walks in random environments,QM Shao,5,93.33%,93.33%
Studentized increments of partial sums.,Studentized increments of partial sums,QM SHAO,13,80.00%,80.00%
A new proof on the distribution of the local time of a Wiener processes.,A new proof on the distribution of the local time of a Wiener processes,QM Shao M Csorgo,0,92.86%,92.86%
A note on dichotomy theorems for integrals of stable processes.,A note on dichotomy theorems for integrals of stable processes,QM Shao,1,90.00%,90.00%
Kernel generated two-time parameter Gaussian processes and some of their path properties.,Kernel generated two time parameter Gaussian processes and some of their path properties,M Csörgo QM Shao,6,83.33%,76.92%
Random increments of a Wiener process and their applications.,Random increments of a Wiener process and their applications,QM Shao,1,88.89%,88.89%
On a new law of iterated logarithm of Erdos and Revesz Acta Math.,A normal comparison inequality and its applications,QM Shao,83,7.69%,14.29%
A self-normalized Erdos-Renyi type law of large numbers.,A self-normalized Erdős—Rényi type strong law of large numbers,M Csörgő QM Shao,7,75.00%,66.67%
Self-normalizing central limit theorem for sums of weakly dependent random variables,Self-normalized central limit theorem for sums of weakly dependent random variables,QM Shao,16,90.91%,90.91%
Path properties for $\ell_{\infty$-valued Gaussian processes.,Stable non-Gaussian random processes: stochastic models with infinite variance,,5204,0.00%,0.00%
On almost sure limit inferior for B-valued stochastic processes and applications.,On almost sure limit inferior for B-valued stochastic processes and applications,M Csörgő QM Shao,16,90.91%,90.91%
Some limit theorems for muti-dimensional Brownian motion .,Some limit theorems for muti-dimensional Brownian motion,,4,87.50%,100.00%
An almost sure invariance principle for Gaussian sequences.,Almost sure invariance principles for mixing sequences of random variables,QM Shao,112,37.50%,30.00%
Dye-sensitized solar cells based on TiO2 nanoparticles/nanobelts double-layered film with improved photovoltaic performance,Dye-sensitized solar cells based on TiO 2 nanoparticles/nanobelts double-layered film with improved photovoltaic performance,,40,92.31%,85.71%
Fabrication of Predominantly Mn(4+) -Doped TiO2 Nanoparticles under Equilibrium Conditions and Their Application as Visible-Light Photocatalysts.,UV-or visible-light-induced degradation of X3B on TiO2 nanoparticles: the influence of adsorption,,246,18.75%,16.67%
A novel reduction approach to fabricate quantum-sized SnO2-conjugated reduced graphene oxide nanocomposites as non-enzymatic glucose sensors.,A novel reduction approach to fabricate quantum-sized SnO 2-conjugated reduced graphene oxide nanocomposites as non-enzymatic glucose sensors,,28,87.50%,82.35%
Large-scale synthesis and enhanced visible-light-driven photocatalytic performance of hierarchical Ag/AgCl nanocrystals derived from freeze-dried PVP–Ag+ hybrid precursors with porosity,Large-scale synthesis and enhanced visible-light-driven photocatalytic performance of hierarchical Ag/AgCl nanocrystals derived from freeze-dried PVP–Ag+ hybrid …,,24,78.95%,93.75%
Synthesis and Ag-loading-density-dependent photocatalytic activity of Ag@TiO2 hybrid nanocrystals,Synthesis and Ag-loading-density-dependent photocatalytic activity of Ag@ TiO 2 hybrid nanocrystals,,31,88.89%,72.73%
Novel ZnO nanorod films by chemical solution deposition for planar device applications.,Novel ZnO nanorod films by chemical solution deposition for planar device applications,D Singh,7,91.67%,91.67%
